api_patch,riot_patch,published_date_utc,champion_name,event_id,source_url,source_section,inclusion_rule
16.1,26.1,2026-01-07,Akshan,Akshan|16.1,https://www.leagueoflegends.com/en-us/news/game-updates/patch-26-1-notes,Champions (Summoner's Rift),named champion heading with gameplay/balance change in main Champions section
16.1,26.1,2026-01-07,Aphelios,Aphelios|16.1,https://www.leagueoflegends.com/en-us/news/game-updates/patch-26-1-notes,Champions (Summoner's Rift),named champion heading with gameplay/balance change in main Champions section
16.1,26.1,2026-01-07,Ashe,Ashe|16.1,https://www.leagueoflegends.com/en-us/news/game-updates/patch-26-1-notes,Champions (Summoner's Rift),named champion heading with gameplay/balance change in main Champions section
16.1,26.1,2026-01-07,Caitlyn,Caitlyn|16.1,https://www.leagueoflegends.com/en-us/news/game-updates/patch-26-1-notes,Champions (Summoner's Rift),named champion heading with gameplay/balance change in main Champions section
16.1,26.1,2026-01-07,Cassiopeia,Cassiopeia|16.1,https://www.leagueoflegends.com/en-us/news/game-updates/patch-26-1-notes,Champions (Summoner's Rift),named champion heading with gameplay/balance change in main Champions section
16.1,26.1,2026-01-07,Corki,Corki|16.1,https://www.leagueoflegends.com/en-us/news/game-updates/patch-26-1-notes,Champions (Summoner's Rift),named champion heading with gameplay/balance change in main Champions section
16.1,26.1,2026-01-07,Draven,Draven|16.1,https://www.leagueoflegends.com/en-us/news/game-updates/patch-26-1-notes,Champions (Summoner's Rift),named champion heading with gameplay/balance change in main Champions section
16.1,26.1,2026-01-07,Elise,Elise|16.1,https://www.leagueoflegends.com/en-us/news/game-updates/patch-26-1-notes,Champions (Summoner's Rift),named champion heading with gameplay/balance change in main Champions section
16.1,26.1,2026-01-07,Gangplank,Gangplank|16.1,https://www.leagueoflegends.com/en-us/news/game-updates/patch-26-1-notes,Champions (Summoner's Rift),named champion heading with gameplay/balance change in main Champions section
16.1,26.1,2026-01-07,Garen,Garen|16.1,https://www.leagueoflegends.com/en-us/news/game-updates/patch-26-1-notes,Champions (Summoner's Rift),named champion heading with gameplay/balance change in main Champions section
16.1,26.1,2026-01-07,Graves,Graves|16.1,https://www.leagueoflegends.com/en-us/news/game-updates/patch-26-1-notes,Champions (Summoner's Rift),named champion heading with gameplay/balance change in main Champions section
16.1,26.1,2026-01-07,Jax,Jax|16.1,https://www.leagueoflegends.com/en-us/news/game-updates/patch-26-1-notes,Champions (Summoner's Rift),named champion heading with gameplay/balance change in main Champions section
16.1,26.1,2026-01-07,Jhin,Jhin|16.1,https://www.leagueoflegends.com/en-us/news/game-updates/patch-26-1-notes,Champions (Summoner's Rift),named champion heading with gameplay/balance change in main Champions section
16.1,26.1,2026-01-07,Jinx,Jinx|16.1,https://www.leagueoflegends.com/en-us/news/game-updates/patch-26-1-notes,Champions (Summoner's Rift),named champion heading with gameplay/balance change in main Champions section
16.1,26.1,2026-01-07,Kindred,Kindred|16.1,https://www.leagueoflegends.com/en-us/news/game-updates/patch-26-1-notes,Champions (Summoner's Rift),named champion heading with gameplay/balance change in main Champions section
16.1,26.1,2026-01-07,Lucian,Lucian|16.1,https://www.leagueoflegends.com/en-us/news/game-updates/patch-26-1-notes,Champions (Summoner's Rift),named champion heading with gameplay/balance change in main Champions section
16.1,26.1,2026-01-07,Miss Fortune,Miss Fortune|16.1,https://www.leagueoflegends.com/en-us/news/game-updates/patch-26-1-notes,Champions (Summoner's Rift),named champion heading with gameplay/balance change in main Champions section
16.1,26.1,2026-01-07,Nilah,Nilah|16.1,https://www.leagueoflegends.com/en-us/news/game-updates/patch-26-1-notes,Champions (Summoner's Rift),named champion heading with gameplay/balance change in main Champions section
16.1,26.1,2026-01-07,Quinn,Quinn|16.1,https://www.leagueoflegends.com/en-us/news/game-updates/patch-26-1-notes,Champions (Summoner's Rift),named champion heading with gameplay/balance change in main Champions section
16.1,26.1,2026-01-07,Rengar,Rengar|16.1,https://www.leagueoflegends.com/en-us/news/game-updates/patch-26-1-notes,Champions (Summoner's Rift),named champion heading with gameplay/balance change in main Champions section
16.1,26.1,2026-01-07,Samira,Samira|16.1,https://www.leagueoflegends.com/en-us/news/game-updates/patch-26-1-notes,Champions (Summoner's Rift),named champion heading with gameplay/balance change in main Champions section
16.1,26.1,2026-01-07,Senna,Senna|16.1,https://www.leagueoflegends.com/en-us/news/game-updates/patch-26-1-notes,Champions (Summoner's Rift),named champion heading with gameplay/balance change in main Champions section
16.1,26.1,2026-01-07,Shaco,Shaco|16.1,https://www.leagueoflegends.com/en-us/news/game-updates/patch-26-1-notes,Champions (Summoner's Rift),named champion heading with gameplay/balance change in main Champions section
16.1,26.1,2026-01-07,Sivir,Sivir|16.1,https://www.leagueoflegends.com/en-us/news/game-updates/patch-26-1-notes,Champions (Summoner's Rift),named champion heading with gameplay/balance change in main Champions section
16.1,26.1,2026-01-07,Smolder,Smolder|16.1,https://www.leagueoflegends.com/en-us/news/game-updates/patch-26-1-notes,Champions (Summoner's Rift),named champion heading with gameplay/balance change in main Champions section
16.1,26.1,2026-01-07,Tristana,Tristana|16.1,https://www.leagueoflegends.com/en-us/news/game-updates/patch-26-1-notes,Champions (Summoner's Rift),named champion heading with gameplay/balance change in main Champions section
16.1,26.1,2026-01-07,Tryndamere,Tryndamere|16.1,https://www.leagueoflegends.com/en-us/news/game-updates/patch-26-1-notes,Champions (Summoner's Rift),named champion heading with gameplay/balance change in main Champions section
16.1,26.1,2026-01-07,Twitch,Twitch|16.1,https://www.leagueoflegends.com/en-us/news/game-updates/patch-26-1-notes,Champions (Summoner's Rift),named champion heading with gameplay/balance change in main Champions section
16.1,26.1,2026-01-07,Viego,Viego|16.1,https://www.leagueoflegends.com/en-us/news/game-updates/patch-26-1-notes,Champions (Summoner's Rift),named champion heading with gameplay/balance change in main Champions section
16.1,26.1,2026-01-07,Xayah,Xayah|16.1,https://www.leagueoflegends.com/en-us/news/game-updates/patch-26-1-notes,Champions (Summoner's Rift),named champion heading with gameplay/balance change in main Champions section
16.1,26.1,2026-01-07,Yasuo,Yasuo|16.1,https://www.leagueoflegends.com/en-us/news/game-updates/patch-26-1-notes,Champions (Summoner's Rift),named champion heading with gameplay/balance change in main Champions section
16.1,26.1,2026-01-07,Yone,Yone|16.1,https://www.leagueoflegends.com/en-us/news/game-updates/patch-26-1-notes,Champions (Summoner's Rift),named champion heading with gameplay/balance change in main Champions section
16.1,26.1,2026-01-07,Yunara,Yunara|16.1,https://www.leagueoflegends.com/en-us/news/game-updates/patch-26-1-notes,Champions (Summoner's Rift),named champion heading with gameplay/balance change in main Champions section
16.1,26.1,2026-01-07,Zeri,Zeri|16.1,https://www.leagueoflegends.com/en-us/news/game-updates/patch-26-1-notes,Champions (Summoner's Rift),named champion heading with gameplay/balance change in main Champions section
16.2,26.2,2026-01-21,Aatrox,Aatrox|16.2,https://www.leagueoflegends.com/en-us/news/game-updates/patch-26-2-notes,Champions (Summoner's Rift),named champion heading with gameplay/balance change in main Champions section
16.2,26.2,2026-01-21,Ashe,Ashe|16.2,https://www.leagueoflegends.com/en-us/news/game-updates/patch-26-2-notes,Champions (Summoner's Rift),named champion heading with gameplay/balance change in main Champions section
16.2,26.2,2026-01-21,Gwen,Gwen|16.2,https://www.leagueoflegends.com/en-us/news/game-updates/patch-26-2-notes,Champions (Summoner's Rift),named champion heading with gameplay/balance change in main Champions section
16.2,26.2,2026-01-21,Jayce,Jayce|16.2,https://www.leagueoflegends.com/en-us/news/game-updates/patch-26-2-notes,Champions (Summoner's Rift),named champion heading with gameplay/balance change in main Champions section
16.2,26.2,2026-01-21,Lillia,Lillia|16.2,https://www.leagueoflegends.com/en-us/news/game-updates/patch-26-2-notes,Champions (Summoner's Rift),named champion heading with gameplay/balance change in main Champions section
16.2,26.2,2026-01-21,Malphite,Malphite|16.2,https://www.leagueoflegends.com/en-us/news/game-updates/patch-26-2-notes,Champions (Summoner's Rift),named champion heading with gameplay/balance change in main Champions section
16.2,26.2,2026-01-21,Master Yi,Master Yi|16.2,https://www.leagueoflegends.com/en-us/news/game-updates/patch-26-2-notes,Champions (Summoner's Rift),named champion heading with gameplay/balance change in main Champions section
16.2,26.2,2026-01-21,Nunu & Willump,Nunu & Willump|16.2,https://www.leagueoflegends.com/en-us/news/game-updates/patch-26-2-notes,Champions (Summoner's Rift),named champion heading with gameplay/balance change in main Champions section
16.2,26.2,2026-01-21,Sivir,Sivir|16.2,https://www.leagueoflegends.com/en-us/news/game-updates/patch-26-2-notes,Champions (Summoner's Rift),named champion heading with gameplay/balance change in main Champions section
16.2,26.2,2026-01-21,Smolder,Smolder|16.2,https://www.leagueoflegends.com/en-us/news/game-updates/patch-26-2-notes,Champions (Summoner's Rift),named champion heading with gameplay/balance change in main Champions section
16.2,26.2,2026-01-21,Taliyah,Taliyah|16.2,https://www.leagueoflegends.com/en-us/news/game-updates/patch-26-2-notes,Champions (Summoner's Rift),named champion heading with gameplay/balance change in main Champions section
16.2,26.2,2026-01-21,Varus,Varus|16.2,https://www.leagueoflegends.com/en-us/news/game-updates/patch-26-2-notes,Champions (Summoner's Rift),named champion heading with gameplay/balance change in main Champions section
16.2,26.2,2026-01-21,Viego,Viego|16.2,https://www.leagueoflegends.com/en-us/news/game-updates/patch-26-2-notes,Champions (Summoner's Rift),named champion heading with gameplay/balance change in main Champions section
16.2,26.2,2026-01-21,Zed,Zed|16.2,https://www.leagueoflegends.com/en-us/news/game-updates/patch-26-2-notes,Champions (Summoner's Rift),named champion heading with gameplay/balance change in main Champions section
16.3,26.3,2026-02-03,Ahri,Ahri|16.3,https://www.leagueoflegends.com/en-us/news/game-updates/patch-26-3-notes,Champions (Summoner's Rift),named champion heading with gameplay/balance change in main Champions section
16.3,26.3,2026-02-03,Bel'Veth,Bel'Veth|16.3,https://www.leagueoflegends.com/en-us/news/game-updates/patch-26-3-notes,Champions (Summoner's Rift),named champion heading with gameplay/balance change in main Champions section
16.3,26.3,2026-02-03,Braum,Braum|16.3,https://www.leagueoflegends.com/en-us/news/game-updates/patch-26-3-notes,Champions (Summoner's Rift),named champion heading with gameplay/balance change in main Champions section
16.3,26.3,2026-02-03,Briar,Briar|16.3,https://www.leagueoflegends.com/en-us/news/game-updates/patch-26-3-notes,Champions (Summoner's Rift),named champion heading with gameplay/balance change in main Champions section
16.3,26.3,2026-02-03,Diana,Diana|16.3,https://www.leagueoflegends.com/en-us/news/game-updates/patch-26-3-notes,Champions (Summoner's Rift),named champion heading with gameplay/balance change in main Champions section
16.3,26.3,2026-02-03,Draven,Draven|16.3,https://www.leagueoflegends.com/en-us/news/game-updates/patch-26-3-notes,Champions (Summoner's Rift),named champion heading with gameplay/balance change in main Champions section
16.3,26.3,2026-02-03,Ekko,Ekko|16.3,https://www.leagueoflegends.com/en-us/news/game-updates/patch-26-3-notes,Champions (Summoner's Rift),named champion heading with gameplay/balance change in main Champions section
