anonymized_player_id,rank_stratum,primary_role
P001,GOLD,BOTTOM
P002,GOLD,UTILITY
P003,GOLD,UTILITY
P004,GOLD,MIDDLE
P005,GOLD,JUNGLE
P006,GOLD,UTILITY
P007,GOLD,TOP
P008,GOLD,JUNGLE
P009,GOLD,UTILITY
P010,GOLD,MIDDLE
P011,GOLD,JUNGLE
P012,GOLD,UTILITY
P013,GOLD,UTILITY
P014,GOLD,JUNGLE
P015,GOLD,MIDDLE
P016,GOLD,JUNGLE
P017,GOLD,MIDDLE
P018,GOLD,MIDDLE
P019,GOLD,UTILITY
P020,GOLD,MIDDLE
P021,GOLD,BOTTOM
P022,GOLD,JUNGLE
P023,GOLD,MIDDLE
P024,GOLD,UTILITY
P025,GOLD,UTILITY
P026,GOLD,TOP
P027,GOLD,BOTTOM
P028,GOLD,MIDDLE
P029,GOLD,TOP
P030,GOLD,BOTTOM
P031,GOLD,TOP
P032,GOLD,MIDDLE
P033,GOLD,MIDDLE
P034,GOLD,BOTTOM
P035,GOLD,UTILITY
P036,GOLD,JUNGLE
P037,GOLD,JUNGLE
P038,GOLD,MIDDLE
P039,GOLD,TOP
P040,GOLD,BOTTOM
P041,GOLD,TOP
P042,GOLD,MIDDLE
P043,GOLD,BOTTOM
P044,GOLD,UTILITY
P045,GOLD,UTILITY
P046,GOLD,JUNGLE
P047,GOLD,MIDDLE
P048,GOLD,BOTTOM
P049,GOLD,TOP
P050,GOLD,TOP
P051,GOLD,UTILITY
P052,GOLD,MIDDLE
P053,GOLD,TOP
P054,GOLD,TOP
P055,GOLD,TOP
P056,GOLD,JUNGLE
P057,GOLD,BOTTOM
P058,GOLD,JUNGLE
P059,GOLD,MIDDLE
P060,GOLD,BOTTOM
P061,GOLD,TOP
P062,GOLD,UTILITY
P063,GOLD,MIDDLE
P064,GOLD,BOTTOM
P065,GOLD,JUNGLE
P066,GOLD,MIDDLE
P067,GOLD,TOP
P068,GOLD,BOTTOM
P069,GOLD,BOTTOM
P070,GOLD,TOP
P071,GOLD,JUNGLE
P072,GOLD,MIDDLE
P073,GOLD,MIDDLE
P074,GOLD,TOP
P075,GOLD,MIDDLE
P076,GOLD,BOTTOM
P077,GOLD,UTILITY
P078,GOLD,TOP
P079,GOLD,TOP
P080,GOLD,JUNGLE
P081,GOLD,TOP
P082,GOLD,UTILITY
P083,GOLD,UTILITY
P084,GOLD,UTILITY
P085,GOLD,BOTTOM
P086,GOLD,BOTTOM
P087,GOLD,BOTTOM
P088,GOLD,TOP
P089,GOLD,UTILITY
P090,GOLD,UTILITY
P091,GOLD,BOTTOM
P092,GOLD,BOTTOM
P093,GOLD,JUNGLE
P094,GOLD,JUNGLE
P095,GOLD,JUNGLE
P096,GOLD,TOP
P097,GOLD,JUNGLE
P098,GOLD,BOTTOM
P099,GOLD,JUNGLE
P100,GOLD,JUNGLE
P101,PLATINUM,TOP
P102,PLATINUM,BOTTOM
P103,PLATINUM,BOTTOM
P104,PLATINUM,JUNGLE
P105,PLATINUM,MIDDLE
P106,PLATINUM,UTILITY
P107,PLATINUM,MIDDLE
P108,PLATINUM,MIDDLE
P109,PLATINUM,MIDDLE
P110,PLATINUM,UTILITY
P111,PLATINUM,BOTTOM
P112,PLATINUM,TOP
P113,PLATINUM,JUNGLE
P114,PLATINUM,BOTTOM
P115,PLATINUM,BOTTOM
P116,PLATINUM,TOP
P117,PLATINUM,BOTTOM
P118,PLATINUM,MIDDLE
P119,PLATINUM,UTILITY
P120,PLATINUM,UTILITY
P121,PLATINUM,BOTTOM
P122,PLATINUM,BOTTOM
P123,PLATINUM,MIDDLE
P124,PLATINUM,MIDDLE
P125,PLATINUM,TOP
P126,PLATINUM,JUNGLE
P127,PLATINUM,UTILITY
P128,PLATINUM,MIDDLE
P129,PLATINUM,UTILITY
P130,PLATINUM,JUNGLE
P131,PLATINUM,JUNGLE
P132,PLATINUM,MIDDLE
P133,PLATINUM,MIDDLE
P134,PLATINUM,UTILITY
P135,PLATINUM,MIDDLE
P136,PLATINUM,MIDDLE
P137,PLATINUM,MIDDLE
P138,PLATINUM,MIDDLE
P139,PLATINUM,JUNGLE
P140,PLATINUM,BOTTOM
P141,PLATINUM,UTILITY
P142,PLATINUM,UTILITY
P143,PLATINUM,JUNGLE
P144,PLATINUM,MIDDLE
P145,PLATINUM,TOP
P146,PLATINUM,MIDDLE
P147,PLATINUM,MIDDLE
P148,PLATINUM,UTILITY
P149,PLATINUM,TOP
P150,PLATINUM,BOTTOM
P151,PLATINUM,UTILITY
P152,PLATINUM,UTILITY
P153,PLATINUM,UTILITY
P154,PLATINUM,MIDDLE
P155,PLATINUM,UTILITY
P156,PLATINUM,JUNGLE
P157,PLATINUM,TOP
P158,PLATINUM,JUNGLE
P159,PLATINUM,JUNGLE
P160,PLATINUM,UTILITY
P161,PLATINUM,MIDDLE
P162,PLATINUM,BOTTOM
