event_id,champion,patch,pre_patch,change_direction,n_pre_users,n_post_users,n_pre_only,n_both,n_post_only,pre_only_among_union,both_among_union,post_only_among_union,pre_only_among_pre,post_only_among_post,continuation_rate,pre_observed_new_share,post_observed_new_share,delta_observed_new_pp,pre_established_share,post_established_share,delta_established_pp,rank_tvd,role_tvd,experience_eligible_pre,experience_eligible_post,higher_support_view
Akshan|16.1,Akshan,16.1,15.24,,8,4,6,2,2,0.6,0.2,0.2,0.75,0.5,0.25,0.75,0.0,-75.0,0.25,1.0,75.0,0.375,0.5,4,2,False
Aphelios|16.1,Aphelios,16.1,15.24,,12,19,4,8,11,0.17391304347826086,0.34782608695652173,0.4782608695652174,0.3333333333333333,0.5789473684210527,0.6666666666666666,0.3333333333333333,0.5555555555555556,22.222222222222225,0.3333333333333333,0.3333333333333333,0.0,0.2236842105263158,0.15350877192982457,3,9,True
Ashe|16.1,Ashe,16.1,15.24,,24,7,21,3,4,0.75,0.10714285714285714,0.14285714285714285,0.875,0.5714285714285714,0.125,0.4166666666666667,0.2,-21.666666666666668,0.16666666666666666,0.2,3.3333333333333353,0.10714285714285712,0.24999999999999994,12,5,False
Caitlyn|16.1,Caitlyn,16.1,15.24,,22,31,11,11,20,0.2619047619047619,0.2619047619047619,0.47619047619047616,0.5,0.6451612903225806,0.5,0.13333333333333333,0.3333333333333333,20.0,0.4,0.26666666666666666,-13.333333333333336,0.11143695014662758,0.11290322580645161,15,15,True
Cassiopeia|16.1,Cassiopeia,16.1,15.24,,9,3,8,1,2,0.7272727272727273,0.09090909090909091,0.18181818181818182,0.8888888888888888,0.6666666666666666,0.1111111111111111,0.8,0.5,-30.000000000000004,0.2,0.5,30.0,0.33333333333333337,0.6666666666666666,5,2,False
Corki|16.1,Corki,16.1,15.24,,6,5,4,2,3,0.4444444444444444,0.2222222222222222,0.3333333333333333,0.6666666666666666,0.6,0.3333333333333333,1.0,,,0.0,,,0.6666666666666666,0.43333333333333335,3,0,False
Draven|16.1,Draven,16.1,15.24,,7,5,4,3,2,0.4444444444444444,0.3333333333333333,0.2222222222222222,0.5714285714285714,0.4,0.42857142857142855,0.25,0.0,-25.0,0.75,1.0,25.0,0.5714285714285714,0.14285714285714288,4,4,False
Elise|16.1,Elise,16.1,15.24,,5,4,5,0,4,0.5555555555555556,0.0,0.4444444444444444,1.0,1.0,0.0,0.0,0.5,50.0,0.5,0.0,-50.0,0.4,0.4,2,2,False
Gangplank|16.1,Gangplank,16.1,15.24,,2,5,2,0,5,0.2857142857142857,0.0,0.7142857142857143,1.0,1.0,0.0,0.0,0.6,60.0,0.0,0.2,20.0,0.8,0.3,1,5,False
Garen|16.1,Garen,16.1,15.24,,18,15,13,5,10,0.4642857142857143,0.17857142857142858,0.35714285714285715,0.7222222222222222,0.6666666666666666,0.2777777777777778,0.2,0.6,40.0,0.3,0.2,-9.999999999999998,0.14444444444444446,0.2,10,10,True
Graves|16.1,Graves,16.1,15.24,,9,7,7,2,5,0.5,0.14285714285714285,0.35714285714285715,0.7777777777777778,0.7142857142857143,0.2222222222222222,0.5,0.6666666666666666,16.666666666666664,0.3333333333333333,0.0,-33.33333333333333,0.4126984126984127,0.3492063492063492,6,3,False
Jax|16.1,Jax,16.1,15.24,,19,19,12,7,12,0.3870967741935484,0.22580645161290322,0.3870967741935484,0.631578947368421,0.631578947368421,0.3684210526315789,0.3076923076923077,0.25,-5.769230769230771,0.46153846153846156,0.5,3.8461538461538436,0.2631578947368421,0.3157894736842105,13,12,True
Jhin|16.1,Jhin,16.1,15.24,,30,17,21,9,8,0.5526315789473685,0.23684210526315788,0.21052631578947367,0.7,0.47058823529411764,0.3,0.25,0.25,0.0,0.3333333333333333,0.25,-8.333333333333332,0.21568627450980393,0.3156862745098039,12,12,True
Jinx|16.1,Jinx,16.1,15.24,,16,21,6,10,11,0.2222222222222222,0.37037037037037035,0.4074074074074074,0.375,0.5238095238095238,0.625,0.1111111111111111,0.0,-11.11111111111111,0.4444444444444444,0.5555555555555556,11.111111111111116,0.20833333333333334,0.0892857142857143,9,9,True
Kindred|16.1,Kindred,16.1,15.24,,9,7,6,3,4,0.46153846153846156,0.23076923076923078,0.3076923076923077,0.6666666666666666,0.5714285714285714,0.3333333333333333,0.5,0.0,-50.0,0.5,0.5,0.0,0.5238095238095237,0.2857142857142857,4,2,False
Lucian|16.1,Lucian,16.1,15.24,,17,21,11,6,15,0.34375,0.1875,0.46875,0.6470588235294118,0.7142857142857143,0.35294117647058826,0.4444444444444444,0.42857142857142855,-1.5873015873015872,0.1111111111111111,0.14285714285714285,3.1746031746031744,0.10084033613445376,0.16246498599439776,9,7,True
Miss Fortune|16.1,Miss Fortune,16.1,15.24,,0,0,0,0,0,,,,,,,,,,,,,,,0,0,False
