event_id,champion,patch,pre_patch,pre_patch_observed,change_direction,pre_experience_eligible,pre_mean_prior_champion_count,pre_median_prior_champion_count,pre_p25_prior_champion_count,pre_p75_prior_champion_count,pre_observed_new_share,pre_limited_1_4_share,pre_established_5plus_share,post_experience_eligible,post_mean_prior_champion_count,post_median_prior_champion_count,post_p25_prior_champion_count,post_p75_prior_champion_count,post_observed_new_share,post_limited_1_4_share,post_established_5plus_share,delta_mean_prior_champion_count,delta_median_prior_champion_count,delta_p25_prior_champion_count,delta_p75_prior_champion_count,delta_observed_new_share_pp,delta_limited_1_4_share_pp,delta_established_5plus_share_pp
Akshan|16.1,Akshan,16.1,15.24,True,,4,7.5,0.0,0.0,7.5,0.75,0.0,0.25,2,21.0,21.0,16.5,25.5,0.0,0.0,1.0,13.5,21.0,16.5,18.0,-75.0,0.0,75.0
Aphelios|16.1,Aphelios,16.1,15.24,True,,3,7.0,3,1.5,10.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,9,9.444444444444445,0,0.0,5.0,0.5555555555555556,0.1111111111111111,0.3333333333333333,2.4444444444444446,-3,-1.5,-5.5,22.222222222222225,-22.22222222222222,0.0
Ashe|16.1,Ashe,16.1,15.24,True,,12,3.0,1.0,0.0,1.0,0.4166666666666667,0.4166666666666667,0.16666666666666666,5,4.4,1,1.0,2.0,0.2,0.6,0.2,1.4000000000000004,0.0,1.0,1.0,-21.666666666666668,18.33333333333333,3.3333333333333353
Caitlyn|16.1,Caitlyn,16.1,15.24,True,,15,7.4,2,1.0,13.5,0.13333333333333333,0.4666666666666667,0.4,15,4.0,1,0.0,5.0,0.3333333333333333,0.4,0.26666666666666666,-3.4000000000000004,-1,-1.0,-8.5,20.0,-6.666666666666665,-13.333333333333336
Cassiopeia|16.1,Cassiopeia,16.1,15.24,True,,5,4.6,0,0.0,0.0,0.8,0.0,0.2,2,14.5,14.5,7.25,21.75,0.5,0.0,0.5,9.9,14.5,7.25,21.75,-30.000000000000004,0.0,30.0
Corki|16.1,Corki,16.1,15.24,True,,3,0.0,0,0.0,0.0,1.0,0.0,0.0,0,,,,,,,,,,,,,,
Draven|16.1,Draven,16.1,15.24,True,,4,14.25,7.0,4.5,16.75,0.25,0.0,0.75,4,16.0,12.0,8.0,20.0,0.0,0.0,1.0,1.75,5.0,3.5,3.25,-25.0,0.0,25.0
Elise|16.1,Elise,16.1,15.24,True,,2,4.5,4.5,2.75,6.25,0.0,0.5,0.5,2,0.5,0.5,0.25,0.75,0.5,0.5,0.0,-4.0,-4.0,-2.5,-5.5,50.0,0.0,-50.0
Gangplank|16.1,Gangplank,16.1,15.24,True,,1,1.0,1,1.0,1.0,0.0,1.0,0.0,5,19.8,0,0.0,1.0,0.6,0.2,0.2,18.8,-1,-1.0,0.0,60.0,-80.0,20.0
Garen|16.1,Garen,16.1,15.24,True,,10,8.0,2.0,1.0,4.75,0.2,0.5,0.3,10,2.6,0.0,0.0,2.5,0.6,0.2,0.2,-5.4,-2.0,-1.0,-2.25,40.0,-30.0,-9.999999999999998
