event_id,champion,patch,pre_patch,pre_patch_observed,change_direction,dimension,category,pre_users,post_users,pre_share,post_share,delta_percentage_points,tvd
Akshan|16.1,Akshan,16.1,15.24,True,,rank,GOLD,1,1,0.125,0.25,12.5,0.375
Akshan|16.1,Akshan,16.1,15.24,True,,rank,PLATINUM,2,0,0.25,0.0,-25.0,0.375
Akshan|16.1,Akshan,16.1,15.24,True,,rank,EMERALD,0,0,0.0,0.0,0.0,0.375
Akshan|16.1,Akshan,16.1,15.24,True,,rank,DIAMOND,3,1,0.375,0.25,-12.5,0.375
Akshan|16.1,Akshan,16.1,15.24,True,,rank,MASTER+,2,2,0.25,0.5,25.0,0.375
Akshan|16.1,Akshan,16.1,15.24,True,,role,TOP,2,0,0.25,0.0,-25.0,0.5
Akshan|16.1,Akshan,16.1,15.24,True,,role,JUNGLE,0,0,0.0,0.0,0.0,0.5
Akshan|16.1,Akshan,16.1,15.24,True,,role,MIDDLE,4,4,0.5,1.0,50.0,0.5
Akshan|16.1,Akshan,16.1,15.24,True,,role,BOTTOM,1,0,0.125,0.0,-12.5,0.5
Akshan|16.1,Akshan,16.1,15.24,True,,role,UTILITY,1,0,0.125,0.0,-12.5,0.5
Aphelios|16.1,Aphelios,16.1,15.24,True,,rank,GOLD,3,3,0.25,0.15789473684210525,-9.210526315789474,0.2236842105263158
Aphelios|16.1,Aphelios,16.1,15.24,True,,rank,PLATINUM,1,4,0.08333333333333333,0.21052631578947367,12.719298245614036,0.2236842105263158
Aphelios|16.1,Aphelios,16.1,15.24,True,,rank,EMERALD,4,5,0.3333333333333333,0.2631578947368421,-7.017543859649122,0.2236842105263158
Aphelios|16.1,Aphelios,16.1,15.24,True,,rank,DIAMOND,2,5,0.16666666666666666,0.2631578947368421,9.649122807017543,0.2236842105263158
Aphelios|16.1,Aphelios,16.1,15.24,True,,rank,MASTER+,2,2,0.16666666666666666,0.10526315789473684,-6.140350877192982,0.2236842105263158
Aphelios|16.1,Aphelios,16.1,15.24,True,,role,TOP,3,3,0.25,0.15789473684210525,-9.210526315789474,0.15350877192982457
Aphelios|16.1,Aphelios,16.1,15.24,True,,role,JUNGLE,1,2,0.08333333333333333,0.10526315789473684,2.1929824561403506,0.15350877192982457
Aphelios|16.1,Aphelios,16.1,15.24,True,,role,MIDDLE,2,2,0.16666666666666666,0.10526315789473684,-6.140350877192982,0.15350877192982457
Aphelios|16.1,Aphelios,16.1,15.24,True,,role,BOTTOM,6,11,0.5,0.5789473684210527,7.8947368421052655,0.15350877192982457
Aphelios|16.1,Aphelios,16.1,15.24,True,,role,UTILITY,0,1,0.0,0.05263157894736842,5.263157894736842,0.15350877192982457
Ashe|16.1,Ashe,16.1,15.24,True,,rank,GOLD,3,1,0.125,0.14285714285714285,1.785714285714285,0.10714285714285712
Ashe|16.1,Ashe,16.1,15.24,True,,rank,PLATINUM,6,1,0.25,0.14285714285714285,-10.714285714285715,0.10714285714285712
Ashe|16.1,Ashe,16.1,15.24,True,,rank,EMERALD,9,3,0.375,0.42857142857142855,5.357142857142855,0.10714285714285712
Ashe|16.1,Ashe,16.1,15.24,True,,rank,DIAMOND,3,1,0.125,0.14285714285714285,1.785714285714285,0.10714285714285712
Ashe|16.1,Ashe,16.1,15.24,True,,rank,MASTER+,3,1,0.125,0.14285714285714285,1.785714285714285,0.10714285714285712
Ashe|16.1,Ashe,16.1,15.24,True,,role,TOP,2,0,0.08333333333333333,0.0,-8.333333333333332,0.24999999999999994
Ashe|16.1,Ashe,16.1,15.24,True,,role,JUNGLE,3,2,0.125,0.2857142857142857,16.07142857142857,0.24999999999999994
Ashe|16.1,Ashe,16.1,15.24,True,,role,MIDDLE,4,0,0.16666666666666666,0.0,-16.666666666666664,0.24999999999999994
Ashe|16.1,Ashe,16.1,15.24,True,,role,BOTTOM,10,3,0.4166666666666667,0.42857142857142855,1.1904761904761862,0.24999999999999994
Ashe|16.1,Ashe,16.1,15.24,True,,role,UTILITY,5,2,0.20833333333333334,0.2857142857142857,7.7380952380952355,0.24999999999999994
Caitlyn|16.1,Caitlyn,16.1,15.24,True,,rank,GOLD,5,8,0.22727272727272727,0.25806451612903225,3.0791788856304985,0.11143695014662758
Caitlyn|16.1,Caitlyn,16.1,15.24,True,,rank,PLATINUM,4,5,0.18181818181818182,0.16129032258064516,-2.0527859237536665,0.11143695014662758
Caitlyn|16.1,Caitlyn,16.1,15.24,True,,rank,EMERALD,7,11,0.3181818181818182,0.3548387096774194,3.6656891495601194,0.11143695014662758
Caitlyn|16.1,Caitlyn,16.1,15.24,True,,rank,DIAMOND,4,7,0.18181818181818182,0.22580645161290322,4.3988269794721395,0.11143695014662758
Caitlyn|16.1,Caitlyn,16.1,15.24,True,,rank,MASTER+,2,0,0.09090909090909091,0.0,-9.090909090909092,0.11143695014662758
Caitlyn|16.1,Caitlyn,16.1,15.24,True,,role,TOP,3,6,0.13636363636363635,0.1935483870967742,5.718475073313783,0.11290322580645161
Caitlyn|16.1,Caitlyn,16.1,15.24,True,,role,JUNGLE,2,3,0.09090909090909091,0.0967741935483871,0.5865102639296182,0.11290322580645161
Caitlyn|16.1,Caitlyn,16.1,15.24,True,,role,MIDDLE,4,6,0.18181818181818182,0.1935483870967742,1.1730205278592365,0.11290322580645161
Caitlyn|16.1,Caitlyn,16.1,15.24,True,,role,BOTTOM,11,12,0.5,0.3870967741935484,-11.290322580645162,0.11290322580645161
Caitlyn|16.1,Caitlyn,16.1,15.24,True,,role,UTILITY,2,4,0.09090909090909091,0.12903225806451613,3.8123167155425213,0.11290322580645161
Cassiopeia|16.1,Cassiopeia,16.1,15.24,True,,rank,GOLD,0,0,0.0,0.0,0.0,0.33333333333333337
Cassiopeia|16.1,Cassiopeia,16.1,15.24,True,,rank,PLATINUM,5,1,0.5555555555555556,0.3333333333333333,-22.222222222222225,0.33333333333333337
Cassiopeia|16.1,Cassiopeia,16.1,15.24,True,,rank,EMERALD,1,0,0.1111111111111111,0.0,-11.11111111111111,0.33333333333333337
Cassiopeia|16.1,Cassiopeia,16.1,15.24,True,,rank,DIAMOND,2,1,0.2222222222222222,0.3333333333333333,11.11111111111111,0.33333333333333337
Cassiopeia|16.1,Cassiopeia,16.1,15.24,True,,rank,MASTER+,1,1,0.1111111111111111,0.3333333333333333,22.22222222222222,0.33333333333333337
Cassiopeia|16.1,Cassiopeia,16.1,15.24,True,,role,TOP,5,0,0.5555555555555556,0.0,-55.55555555555556,0.6666666666666666
Cassiopeia|16.1,Cassiopeia,16.1,15.24,True,,role,JUNGLE,0,1,0.0,0.3333333333333333,33.33333333333333,0.6666666666666666
Cassiopeia|16.1,Cassiopeia,16.1,15.24,True,,role,MIDDLE,2,1,0.2222222222222222,0.3333333333333333,11.11111111111111,0.6666666666666666
Cassiopeia|16.1,Cassiopeia,16.1,15.24,True,,role,BOTTOM,1,0,0.1111111111111111,0.0,-11.11111111111111,0.6666666666666666
Cassiopeia|16.1,Cassiopeia,16.1,15.24,True,,role,UTILITY,1,1,0.1111111111111111,0.3333333333333333,22.22222222222222,0.6666666666666666
Corki|16.1,Corki,16.1,15.24,True,,rank,GOLD,0,2,0.0,0.4,40.0,0.6666666666666666
Corki|16.1,Corki,16.1,15.24,True,,rank,PLATINUM,2,0,0.3333333333333333,0.0,-33.33333333333333,0.6666666666666666
Corki|16.1,Corki,16.1,15.24,True,,rank,EMERALD,1,0,0.16666666666666666,0.0,-16.666666666666664,0.6666666666666666
Corki|16.1,Corki,16.1,15.24,True,,rank,DIAMOND,1,0,0.16666666666666666,0.0,-16.666666666666664,0.6666666666666666
Corki|16.1,Corki,16.1,15.24,True,,rank,MASTER+,2,3,0.3333333333333333,0.6,26.666666666666668,0.6666666666666666
Corki|16.1,Corki,16.1,15.24,True,,role,TOP,2,0,0.3333333333333333,0.0,-33.33333333333333,0.43333333333333335
Corki|16.1,Corki,16.1,15.24,True,,role,JUNGLE,0,0,0.0,0.0,0.0,0.43333333333333335
Corki|16.1,Corki,16.1,15.24,True,,role,MIDDLE,1,2,0.16666666666666666,0.4,23.333333333333336,0.43333333333333335
Corki|16.1,Corki,16.1,15.24,True,,role,BOTTOM,3,2,0.5,0.4,-9.999999999999998,0.43333333333333335
Corki|16.1,Corki,16.1,15.24,True,,role,UTILITY,0,1,0.0,0.2,20.0,0.43333333333333335
Draven|16.1,Draven,16.1,15.24,True,,rank,GOLD,2,2,0.2857142857142857,0.4,11.428571428571432,0.5714285714285714
Draven|16.1,Draven,16.1,15.24,True,,rank,PLATINUM,3,0,0.42857142857142855,0.0,-42.857142857142854,0.5714285714285714
Draven|16.1,Draven,16.1,15.24,True,,rank,EMERALD,1,0,0.14285714285714285,0.0,-14.285714285714285,0.5714285714285714
Draven|16.1,Draven,16.1,15.24,True,,rank,DIAMOND,1,3,0.14285714285714285,0.6,45.714285714285715,0.5714285714285714
Draven|16.1,Draven,16.1,15.24,True,,rank,MASTER+,0,0,0.0,0.0,0.0,0.5714285714285714
Draven|16.1,Draven,16.1,15.24,True,,role,TOP,2,2,0.2857142857142857,0.4,11.428571428571432,0.14285714285714288
Draven|16.1,Draven,16.1,15.24,True,,role,JUNGLE,0,0,0.0,0.0,0.0,0.14285714285714288
