event_id,champion,patch,pre_patch,change_direction,n_pre_users,n_post_users,higher_support_view,window,pre_n,pre_mean,pre_median,pre_p25,pre_p75,pre_mean_log1p,pre_median_log1p,pre_p25_log1p,pre_p75_log1p,post_n,post_mean,post_median,post_p25,post_p75,post_mean_log1p,post_median_log1p,post_p25_log1p,post_p75_log1p,delta_mean,delta_median,delta_p25,delta_p75,delta_mean_log1p,delta_median_log1p,delta_p25_log1p,delta_p75_log1p,wasserstein_raw,wasserstein_log1p,experience_shift_direction,experience_support_10
Akshan|16.1,Akshan,16.1,15.24,,8,4,False,50,7,3.142857142857143,0,0.0,3.0,0.7597314276920308,0.0,0.0,1.2424533248940002,3,8.666666666666666,11,5.5,13.0,1.752498457342594,2.4849066497880004,1.2424533248940002,2.6287476860138907,5.523809523809524,11,5.5,10.0,0.9927670296505631,2.4849066497880004,1.2424533248940002,1.3862943611198906,5.809523809523809,1.0100883501695443,toward_higher_experience,False
Aphelios|16.1,Aphelios,16.1,15.24,,12,19,True,50,5,6.2,2,0.0,12.0,1.3107866808051623,1.0986122886681098,0.0,2.5649493574615367,13,4.846153846153846,0,0.0,1.0,0.6593601059000237,0.0,0.0,0.6931471805599453,-1.3538461538461544,-2,0.0,-11.0,-0.6514265749051386,-1.0986122886681098,0.0,-1.8718021769015913,5.353846153846153,0.8051463274712806,toward_lower_experience,False
Ashe|16.1,Ashe,16.1,15.24,,24,7,False,50,16,1.1875,0.0,0.0,0.0,0.30325189149497606,0.0,0.0,0.0,5,2.8,0,0.0,1.0,0.6664409020350408,0.0,0.0,0.6931471805599453,1.6124999999999998,0.0,0.0,1.0,0.36318901054006475,0.0,0.0,0.6931471805599453,1.8624999999999994,0.3798804346181299,toward_higher_experience,False
Caitlyn|16.1,Caitlyn,16.1,15.24,,22,31,True,50,19,3.8421052631578947,1,0.0,5.0,0.9474062666574471,0.6931471805599453,0.0,1.6479184330021646,20,2.35,0.0,0.0,2.25,0.6955744802468082,0.0,0.0,1.170532806781055,-1.4921052631578946,-1.0,0.0,-2.75,-0.25183178641063886,-0.6931471805599453,0.0,-0.4773856262211096,1.4921052631578955,0.25183178641063897,toward_lower_experience,True
Cassiopeia|16.1,Cassiopeia,16.1,15.24,,9,3,False,50,6,3.8333333333333335,0.0,0.0,0.0,0.5296756383913243,0.0,0.0,0.0,2,10.0,10.0,5.0,15.0,1.5222612188617115,1.5222612188617115,0.7611306094308558,2.2833918282925674,6.166666666666666,10.0,5.0,15.0,0.9925855804703873,1.5222612188617115,0.7611306094308558,2.2833918282925674,7.166666666666668,1.0370960446785618,toward_higher_experience,False
Corki|16.1,Corki,16.1,15.24,,6,5,False,50,3,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2,3.0,3.0,1.5,4.5,0.9729550745276566,0.9729550745276566,0.4864775372638283,1.4594326117914849,3.0,3.0,1.5,4.5,0.9729550745276566,0.9729550745276566,0.4864775372638283,1.4594326117914849,3.0,0.9729550745276566,toward_higher_experience,False
Draven|16.1,Draven,16.1,15.24,,7,5,False,50,5,8.8,4,2.0,14.0,1.726995245414524,1.6094379124341003,1.0986122886681098,2.70805020110221,4,4.25,3.5,2.25,5.5,1.3484068865880903,1.4978661367769954,1.0397207708399179,1.8065522525251678,-4.550000000000001,-0.5,0.25,-8.5,-0.3785883588264338,-0.11157177565710485,-0.05889151782819191,-0.9014979485770422,4.85,0.46489298056196793,toward_lower_experience,False
Elise|16.1,Elise,16.1,15.24,,5,4,False,50,3,3.6666666666666665,3,1.5,5.5,1.1945063128187032,1.3862943611198906,0.6931471805599453,1.791759469228055,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.6666666666666665,-3.0,-1.5,-5.5,-1.1945063128187032,-1.3862943611198906,-0.6931471805599453,-1.791759469228055,3.666666666666667,1.1945063128187035,toward_lower_experience,False
Gangplank|16.1,Gangplank,16.1,15.24,,2,5,False,50,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,5,9.8,0,0.0,0.0,0.7824046010856291,0.0,0.0,0.0,9.8,0,0.0,0.0,0.7824046010856291,0.0,0.0,0.0,9.799999999999997,0.782404601085629,toward_higher_experience,False
Garen|16.1,Garen,16.1,15.24,,18,15,True,50,13,4.461538461538462,1,0.0,1.0,0.8392295809458794,0.6931471805599453,0.0,0.6931471805599453,13,0.9230769230769231,0,0.0,0.0,0.33707897189799085,0.0,0.0,0.0,-3.5384615384615383,-1,0.0,-1.0,-0.5021506090478886,-0.6931471805599453,0.0,-0.6931471805599453,3.538461538461537,0.5021506090478884,toward_lower_experience,True
Graves|16.1,Graves,16.1,15.24,,9,7,False,50,8,0.875,0.0,0.0,0.5,0.36129646973702056,0.0,0.0,0.27465307216702745,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.875,0.0,0.0,-0.5,-0.36129646973702056,0.0,0.0,-0.27465307216702745,0.875,0.36129646973702056,toward_lower_experience,False
Jax|16.1,Jax,16.1,15.24,,19,19,True,50,13,7.769230769230769,0,0.0,10.0,1.1995807279063806,0.0,0.0,2.3978952727983707,15,9.733333333333333,1,0.0,16.0,1.3424076923745007,0.6931471805599453,0.0,2.668769039850659,1.9641025641025633,1,0.0,6.0,0.14282696446812015,0.6931471805599453,0.0,0.2708737670522883,2.57948717948718,0.20295270730869294,toward_higher_experience,True
Jhin|16.1,Jhin,16.1,15.24,,30,17,True,50,20,2.35,1.0,0.0,3.5,0.8222144477085515,0.6931471805599453,0.0,1.4876606381469317,14,1.1428571428571428,0.5,0.0,1.0,0.5240669224076869,0.34657359027997264,0.0,0.6931471805599453,-1.2071428571428573,-0.5,0.0,-2.5,-0.2981475253008645,-0.34657359027997264,0.0,-0.7945134575869864,1.2071428571428573,0.2981475253008646,toward_lower_experience,True
Jinx|16.1,Jinx,16.1,15.24,,16,21,True,50,12,2.5,1.0,0.0,3.0,0.8184869636246348,0.6931471805599453,0.0,1.3862943611198906,14,2.4285714285714284,2.0,0.25,3.0,0.9604417497479988,1.0986122886681098,0.17328679513998632,1.3862943611198906,-0.07142857142857162,1.0,0.25,0.0,0.14195478612336399,0.4054651081081645,0.17328679513998632,0.0,1.0238095238095242,0.2342836449238942,toward_higher_experience,True
Kindred|16.1,Kindred,16.1,15.24,,9,7,False,50,6,7.5,1.0,0.0,5.0,1.1136847662416347,0.5493061443340549,0.0,1.7340856839585124,2,17.5,17.5,9.25,25.75,2.1242476210246792,2.1242476210246792,1.4086974007923123,2.8397978412570466,10.0,16.5,9.25,20.75,1.0105628547830445,1.5749414766906242,1.4086974007923123,1.1057121572985342,11.0,1.0379755541953688,toward_higher_experience,False
Lucian|16.1,Lucian,16.1,15.24,,17,21,True,50,11,0.6363636363636364,0,0.0,0.0,0.2723392975958174,0.0,0.0,0.0,10,2.9,1.0,0.0,3.5,0.8719317375506371,0.6931471805599453,0.0,1.4817315064926027,2.2636363636363637,1.0,0.0,3.5,0.5995924399548198,0.6931471805599453,0.0,1.4817315064926027,2.2636363636363637,0.5995924399548198,toward_higher_experience,True
Miss Fortune|16.1,Miss Fortune,16.1,15.24,,0,0,False,50,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,not_computable,False
Nilah|16.1,Nilah,16.1,15.24,,3,4,False,50,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1.25,1.0,0.75,1.5,0.6931471805599453,0.6931471805599453,0.5198603854199589,0.8664339756999315,1.25,1.0,0.75,1.5,0.6931471805599453,0.6931471805599453,0.5198603854199589,0.8664339756999315,1.25,0.6931471805599453,toward_higher_experience,False
Quinn|16.1,Quinn,16.1,15.24,,6,5,False,50,5,1.6,1,0.0,2.0,0.716703787691222,0.6931471805599453,0.0,1.0986122886681098,3,0.6666666666666666,0,0.0,1.0,0.3662040962227033,0.0,0.0,0.5493061443340549,-0.9333333333333335,-1,0.0,-1.0,-0.3504996914685187,-0.6931471805599453,0.0,-0.5493061443340549,0.9333333333333331,0.35049969146851867,toward_lower_experience,False
Rengar|16.1,Rengar,16.1,15.24,,8,5,False,50,6,3.3333333333333335,1.5,0.0,5.25,0.9695185266605341,0.6931471805599453,0.0,1.8060062020714576,4,1.75,0.0,0.0,1.75,0.5198603854199589,0.0,0.0,0.5198603854199589,-1.5833333333333335,-1.5,0.0,-3.5,-0.4496581412405751,-0.6931471805599453,0.0,-1.2861458166514987,1.75,0.47191337334466216,toward_lower_experience,False
Samira|16.1,Samira,16.1,15.24,,9,4,False,50,8,0.5,0.0,0.0,1.0,0.31061333122350004,0.0,0.0,0.6931471805599453,3,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,-1.0,-0.31061333122350004,0.0,0.0,-0.6931471805599453,0.5,0.31061333122350004,toward_lower_experience,False
Senna|16.1,Senna,16.1,15.24,,13,10,True,50,8,2.875,0.0,0.0,0.25,0.4785801745611369,0.0,0.0,0.17328679513998632,8,3.0,0.0,0.0,0.25,0.4839001263634864,0.0,0.0,0.17328679513998632,0.125,0.0,0.0,0.0,0.00531995180234951,0.0,0.0,0.0,0.125,0.00531995180234951,approximately_stable,False
Shaco|16.1,Shaco,16.1,15.24,,9,9,False,50,7,7.571428571428571,1,0.0,2.0,0.9520584314786297,0.6931471805599453,0.0,1.0397207708399179,6,9.0,2.0,1.25,2.0,1.3100308429120278,1.0986122886681098,0.7945134575869863,1.0986122886681098,1.4285714285714288,1.0,1.25,0.0,0.3579724114333981,0.4054651081081645,0.7945134575869863,0.05889151782819191,1.9523809523809486,0.4323593678846032,toward_higher_experience,False
Sivir|16.1,Sivir,16.1,15.24,,8,20,False,50,5,1.4,2,1.0,2.0,0.7977968093128549,1.0986122886681098,0.6931471805599453,1.0986122886681098,14,0.42857142857142855,0.0,0.0,0.0,0.22700384502485327,0.0,0.0,0.0,-0.9714285714285713,-2.0,-1.0,-2.0,-0.5707929642880016,-1.0986122886681098,-0.6931471805599453,-1.0986122886681098,1.114285714285714,0.6118904032096845,toward_lower_experience,False
Smolder|16.1,Smolder,16.1,15.24,,19,18,True,50,13,1.6153846153846154,0,0.0,2.0,0.5852977407070199,0.0,0.0,1.0986122886681098,12,2.8333333333333335,0.5,0.0,2.0,0.7651617414545404,0.34657359027997264,0.0,1.0986122886681098,1.217948717948718,0.5,0.0,0.0,0.1798640007475205,0.34657359027997264,0.0,0.0,1.6025641025641029,0.26872902389623143,toward_higher_experience,True
Tristana|16.1,Tristana,16.1,15.24,,18,10,True,50,13,0.15384615384615385,0,0.0,0.0,0.10663802777845312,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15384615384615385,0.0,0.0,0.0,-0.10663802777845312,0.0,0.0,0.0,0.15384615384615385,0.10663802777845313,toward_lower_experience,False
Tryndamere|16.1,Tryndamere,16.1,15.24,,1,8,False,50,0,,,,,,,,,6,0.5,0.0,0.0,0.0,0.23104906018664842,0.0,0.0,0.0,,,,,,,,,,,not_computable,False
Twitch|16.1,Twitch,16.1,15.24,,9,16,False,50,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,0.7692307692307693,0,0.0,1.0,0.31991408333535937,0.0,0.0,0.6931471805599453,0.7692307692307693,0.0,0.0,1.0,0.31991408333535937,0.0,0.0,0.6931471805599453,0.7692307692307689,0.3199140833353593,toward_higher_experience,False
Viego|16.1,Viego,16.1,15.24,,12,13,True,50,8,7.5,0.5,0.0,6.0,1.0737124852753732,0.34657359027997264,0.0,1.732867951399863,9,10.0,3,1.0,9.0,1.5228550768841187,1.3862943611198906,0.6931471805599453,2.302585092994046,2.5,2.5,1.0,3.0,0.4491425916087455,1.0397207708399179,0.6931471805599453,0.5697171415941829,3.472222222222222,0.49116065073765885,toward_higher_experience,False
Xayah|16.1,Xayah,16.1,15.24,,12,11,True,50,5,0.8,0,0.0,2.0,0.4394449154672439,0.0,0.0,1.0986122886681098,9,0.2222222222222222,0,0.0,0.0,0.12206803207423442,0.0,0.0,0.0,-0.5777777777777778,0,0.0,-2.0,-0.3173768833930095,0.0,0.0,-1.0986122886681098,0.5777777777777777,0.31737688339300946,toward_lower_experience,False
