event_id,champion,patch,pre_patch,change_direction,n_pre_users,n_post_users,higher_support_view,window,pre_n,pre_mean,pre_median,pre_p25,pre_p75,pre_mean_log1p,pre_median_log1p,pre_p25_log1p,pre_p75_log1p,post_n,post_mean,post_median,post_p25,post_p75,post_mean_log1p,post_median_log1p,post_p25_log1p,post_p75_log1p,delta_mean,delta_median,delta_p25,delta_p75,delta_mean_log1p,delta_median_log1p,delta_p25_log1p,delta_p75_log1p,wasserstein_raw,wasserstein_log1p,experience_shift_direction,experience_support_10
Aphelios|16.1,Aphelios,16.1,15.24,,12,19,True,100,3,7.0,3,1.5,10.5,1.4435777800954437,1.3862943611198906,0.6931471805599453,2.1653666701431655,9,9.444444444444445,0,0.0,5.0,1.0226577560192511,0.0,0.0,1.791759469228055,2.4444444444444446,-3,-1.5,-5.5,-0.42092002407619256,-1.3862943611198906,-0.6931471805599453,-0.37360720091511057,8.66666666666667,0.7075128075052636,toward_lower_experience,False
Caitlyn|16.1,Caitlyn,16.1,15.24,,22,31,True,100,15,7.4,2,1.0,13.5,1.5537564616179824,1.0986122886681098,0.6931471805599453,2.6735537653587342,15,4.0,1,0.0,5.0,1.0603848892183796,0.6931471805599453,0.0,1.732867951399863,-3.4000000000000004,-1,-1.0,-8.5,-0.49337157239960283,-0.4054651081081645,-0.6931471805599453,-0.9406858139588712,3.4000000000000004,0.49337157239960283,toward_lower_experience,True
Garen|16.1,Garen,16.1,15.24,,18,15,True,100,10,8.0,2.0,1.0,4.75,1.3729952669602628,1.0986122886681098,0.6931471805599453,1.7461790800295665,10,2.6,0.0,0.0,2.5,0.702108396428914,0.0,0.0,1.2130075659799042,-5.4,-2.0,-1.0,-2.25,-0.6708868705313488,-1.0986122886681098,-0.6931471805599453,-0.5331715140496622,5.399999999999999,0.6708868705313488,toward_lower_experience,True
Jax|16.1,Jax,16.1,15.24,,19,19,True,100,13,14.615384615384615,2,0.0,13.0,1.6623659241751945,1.0986122886681098,0.0,2.6390573296152584,12,20.583333333333332,4.5,1.5,39.0,1.982376319898827,1.5890269151739727,0.8239592165010823,3.685349968917063,5.967948717948717,2.5,1.5,26.0,0.32001039572363243,0.49041462650586287,0.8239592165010823,1.0462926393018046,6.057692307692312,0.3305806681543336,toward_higher_experience,True
Jhin|16.1,Jhin,16.1,15.24,,30,17,True,100,12,5.333333333333333,2.5,0.75,9.0,1.3583972622097136,1.2424533248940002,0.5198603854199589,2.2891557723675486,12,3.8333333333333335,2.0,0.75,4.25,1.1510649025159296,1.0986122886681098,0.5198603854199589,1.5890269151739727,-1.4999999999999996,-0.5,0.0,-4.75,-0.20733235969378394,-0.1438410362258904,0.0,-0.700128857193576,1.4999999999999998,0.20733235969378397,toward_lower_experience,True
Jinx|16.1,Jinx,16.1,15.24,,16,21,True,100,9,9.11111111111111,4,1.0,13.0,1.7261971139430288,1.6094379124341003,0.6931471805599453,2.6390573296152584,9,9.555555555555555,6,3.0,15.0,2.083950188800734,1.9459101490553132,1.3862943611198906,2.772588722239781,0.44444444444444464,2,2.0,2.0,0.35775307485770513,0.33647223662121295,0.6931471805599453,0.13353139262452274,2.444444444444445,0.42380896896168985,toward_higher_experience,False
Lucian|16.1,Lucian,16.1,15.24,,17,21,True,100,9,1.4444444444444444,1,0.0,1.0,0.6260877336854721,0.6931471805599453,0.0,0.6931471805599453,7,3.5714285714285716,1,0.0,2.0,0.8478420279456554,0.6931471805599453,0.0,1.0986122886681098,2.1269841269841274,0,0.0,1.0,0.22175429426018334,0.0,0.0,0.4054651081081645,2.444444444444445,0.30283772660399133,toward_higher_experience,False
Senna|16.1,Senna,16.1,15.24,,13,10,True,100,5,0.4,0,0.0,1.0,0.2772588722239781,0.0,0.0,0.6931471805599453,5,0.4,0,0.0,1.0,0.2772588722239781,0.0,0.0,0.6931471805599453,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,approximately_stable,False
Smolder|16.1,Smolder,16.1,15.24,,19,18,True,100,12,2.6666666666666665,1.0,0.0,2.75,0.8535677381783123,0.6931471805599453,0.0,1.271899083808096,9,6.333333333333333,2,0.0,6.0,1.130957350990699,1.0986122886681098,0.0,1.9459101490553132,3.6666666666666665,1.0,0.0,3.25,0.2773896128123866,0.4054651081081645,0.0,0.6740110652472173,3.7222222222222237,0.3158977895101613,toward_higher_experience,False
Tristana|16.1,Tristana,16.1,15.24,,18,10,True,100,11,0.5454545454545454,0,0.0,1.0,0.3150669002545206,0.0,0.0,0.6931471805599453,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5454545454545454,0.0,0.0,-1.0,-0.3150669002545206,0.0,0.0,-0.6931471805599453,0.5454545454545455,0.3150669002545206,toward_lower_experience,False
Viego|16.1,Viego,16.1,15.24,,12,13,True,100,5,18.2,4,1.0,9.0,1.7923758025355365,1.6094379124341003,0.6931471805599453,2.302585092994046,5,20.6,6,2.0,16.0,2.0519524832907043,1.9459101490553132,1.0986122886681098,2.833213344056216,2.400000000000002,2,1.0,7.0,0.2595766807551678,0.33647223662121295,0.4054651081081645,0.5306282510621703,2.4,0.25957668075516743,toward_higher_experience,False
Xayah|16.1,Xayah,16.1,15.24,,12,11,True,100,5,1.6,0,0.0,4.0,0.6437751649736401,0.0,0.0,1.6094379124341003,7,0.42857142857142855,0,0.0,0.5,0.2559656384611507,0.0,0.0,0.34657359027997264,-1.1714285714285715,0,0.0,-3.5,-0.38780952651248934,0.0,0.0,-1.2628643221541276,1.1714285714285715,0.38780952651248946,toward_lower_experience,False
Yasuo|16.1,Yasuo,16.1,15.24,,18,20,True,100,10,9.5,1.5,0.0,13.0,1.3186182890117284,0.8958797346140275,0.0,2.5272694861506872,9,5.888888888888889,2,2.0,4.0,1.343910772131582,1.0986122886681098,1.0986122886681098,1.6094379124341003,-3.6111111111111107,0.5,2.0,-9.0,0.025292483119853548,0.2027325540540823,1.0986122886681098,-0.917831573716587,4.677777777777779,0.453388409113886,approximately_stable,False
Yone|16.1,Yone,16.1,15.24,,21,15,True,100,10,3.5,1.5,0.25,2.75,1.0227308671603783,0.8958797346140275,0.17328679513998632,1.3143738430069454,7,4.285714285714286,1,0.0,6.0,1.0389140560814352,0.6931471805599453,0.0,1.8444397270569683,0.7857142857142856,-0.5,-0.25,3.25,0.016183188921056857,-0.2027325540540822,-0.17328679513998632,0.530065884050023,1.4142857142857146,0.2731813715712326,approximately_stable,False
Yunara|16.1,Yunara,16.1,15.24,,10,12,True,100,3,2.6666666666666665,3,2.0,3.5,1.2296264847046454,1.3862943611198906,1.0397207708399179,1.4978661367769954,4,4.0,4.0,0.75,7.25,1.2424533248940002,1.3862943611198906,0.5198603854199589,2.1088873005939317,1.3333333333333335,1.0,-1.25,3.75,0.01282684018935476,0.0,-0.5198603854199589,0.6110211638169363,2.5,0.5904494906559759,approximately_stable,False
Gwen|16.2,Gwen,16.2,16.1,,18,11,True,100,12,1.8333333333333333,0.0,0.0,0.5,0.48475926333026703,0.0,0.0,0.27465307216702745,5,9.4,8,1.0,12.0,1.7502315962724062,2.1972245773362196,0.6931471805599453,2.5649493574615367,7.566666666666667,8.0,1.0,11.5,1.2654723329421391,2.1972245773362196,0.6931471805599453,2.2902962852945095,7.5666666666666655,1.2654723329421391,toward_higher_experience,False
Malphite|16.2,Malphite,16.2,16.1,,23,18,True,100,9,2.888888888888889,0,0.0,2.0,0.6810055788956162,0.0,0.0,1.0986122886681098,13,3.4615384615384617,0,0.0,5.0,0.9195792015149435,0.0,0.0,1.791759469228055,0.5726495726495728,0,0.0,3.0,0.23857362261932735,0.0,0.0,0.6931471805599452,1.051282051282052,0.2748558961962279,toward_higher_experience,False
Sivir|16.2,Sivir,16.2,16.1,,20,16,True,100,12,2.4166666666666665,0.0,0.0,2.25,0.5949055833287936,0.0,0.0,1.170532806781055,9,2.4444444444444446,1,0.0,2.0,0.873353895274685,0.6931471805599453,0.0,1.0986122886681098,0.027777777777778123,1.0,0.0,-0.25,0.27844831194589137,0.6931471805599453,0.0,-0.0719205181129452,1.5833333333333335,0.3876999472935607,toward_higher_experience,False
Smolder|16.2,Smolder,16.2,16.1,,18,14,True,100,9,6.333333333333333,2,0.0,6.0,1.130957350990699,1.0986122886681098,0.0,1.9459101490553132,8,6.625,5.5,0.0,12.25,1.472907237385862,1.844439727056968,0.0,2.5834763504999674,0.29166666666666696,3.5,0.0,6.25,0.3419498863951631,0.7458274383888581,0.0,0.6375662014446541,4.736111111111112,0.5079975312463234,toward_higher_experience,False
Viego|16.2,Viego,16.2,16.1,,13,19,True,100,5,20.6,6,2.0,16.0,2.0519524832907043,1.9459101490553132,1.0986122886681098,2.833213344056216,10,14.8,2.0,0.0,13.5,1.5043915257970053,1.0397207708399179,0.0,2.6113875453059907,-5.800000000000001,-4.0,-2.0,-2.5,-0.547560957493699,-0.9061893782153954,-1.0986122886681098,-0.22182579875022546,5.799999999999999,0.5475609574936988,toward_lower_experience,False
