event_id,champion,patch,pre_patch,change_direction,n_pre_users,n_post_users,higher_support_view,window,post_only_n,post_only_mean,post_only_median,post_only_p25,post_only_p75,post_only_mean_log1p,post_only_median_log1p,post_only_p25_log1p,post_only_p75_log1p,both_n,both_mean,both_median,both_p25,both_p75,both_mean_log1p,both_median_log1p,both_p25_log1p,both_p75_log1p,post_only_minus_both_mean,post_only_minus_both_median,post_only_minus_both_mean_log1p,post_only_minus_both_median_log1p,post_only_vs_both_wasserstein_raw,post_only_vs_both_wasserstein_log1p,both_groups_observed
Akshan|16.1,Akshan,16.1,15.24,,8,4,False,50,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2,13.0,13.0,12.0,14.0,2.6287476860138907,2.6287476860138907,2.5568271679009458,2.7006682041268357,-13.0,-13.0,-2.6287476860138907,-2.6287476860138907,13.0,2.6287476860138907,True
Aphelios|16.1,Aphelios,16.1,15.24,,12,19,True,50,7,5.571428571428571,0,0.0,0.0,0.5269827791591337,0.0,0.0,0.0,6,4.0,0.5,0.0,1.75,0.8138003204310619,0.34657359027997264,0.0,0.9972460116410686,1.5714285714285712,-0.5,-0.28681754127192816,-0.34657359027997264,3.5714285714285703,0.45762811291639083,True
Ashe|16.1,Ashe,16.1,15.24,,24,7,False,50,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,4.666666666666667,1,0.5,7.0,1.110734836725068,0.6931471805599453,0.34657359027997264,1.666102255087602,-4.666666666666667,-1.0,-1.110734836725068,-0.6931471805599453,4.666666666666667,1.110734836725068,True
Caitlyn|16.1,Caitlyn,16.1,15.24,,22,31,True,50,10,1.2,0.0,0.0,0.0,0.2564949357461537,0.0,0.0,0.0,10,3.5,1.5,1.0,5.25,1.1346540247474626,0.8958797346140275,0.6931471805599453,1.8060062020714576,-2.3,-1.5,-0.8781590890013089,-0.8958797346140275,2.3000000000000003,0.8781590890013091,True
Cassiopeia|16.1,Cassiopeia,16.1,15.24,,9,3,False,50,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,20.0,20,20.0,20.0,3.044522437723423,3.044522437723423,3.044522437723423,3.044522437723423,-20.0,-20,-3.044522437723423,-3.044522437723423,20.0,3.044522437723423,True
Corki|16.1,Corki,16.1,15.24,,6,5,False,50,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,6.0,6,6.0,6.0,1.9459101490553132,1.9459101490553132,1.9459101490553132,1.9459101490553132,-6.0,-6,-1.9459101490553132,-1.9459101490553132,6.0,1.9459101490553132,True
Draven|16.1,Draven,16.1,15.24,,7,5,False,50,1,10.0,10,10.0,10.0,2.3978952727983707,2.3978952727983707,2.3978952727983707,2.3978952727983707,3,2.3333333333333335,3,1.5,3.5,0.9985774245179969,1.3862943611198906,0.6931471805599453,1.4978661367769954,7.666666666666666,7,1.3993178482803739,1.01160091167848,7.666666666666666,1.3993178482803736,True
Elise|16.1,Elise,16.1,15.24,,5,4,False,50,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,,,,,,,,,,False
Gangplank|16.1,Gangplank,16.1,15.24,,2,5,False,50,5,9.8,0,0.0,0.0,0.7824046010856291,0.0,0.0,0.0,0,,,,,,,,,,,,,,,False
Garen|16.1,Garen,16.1,15.24,,18,15,True,50,9,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,4,3.0,2.5,0.75,4.75,1.0955066586684703,1.1512925464970227,0.5198603854199589,1.7269388197455342,-3.0,-2.5,-1.0955066586684703,-1.1512925464970227,3.0,1.0955066586684703,True
Graves|16.1,Graves,16.1,15.24,,9,7,False,50,3,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,True
Jax|16.1,Jax,16.1,15.24,,19,19,True,50,8,3.5,0.0,0.0,0.75,0.5805488623926716,0.0,0.0,0.34657359027997264,7,16.857142857142858,7,4.0,29.5,2.2131034980680195,2.0794415416798357,1.3862943611198906,3.4165158663931003,-13.357142857142858,-7.0,-1.632554635675348,-2.0794415416798357,13.35714285714286,1.6325546356753484,True
Jhin|16.1,Jhin,16.1,15.24,,30,17,True,50,5,0.4,0,0.0,0.0,0.21972245773362195,0.0,0.0,0.0,9,1.5555555555555556,1,0.0,1.0,0.6931471805599453,0.6931471805599453,0.0,0.6931471805599453,-1.1555555555555554,-1,-0.4734247228263233,-0.6931471805599453,1.155555555555556,0.4734247228263234,True
