event_id,champion,patch,higher_support_view,direction_100,direction_50,direction_agreement,delta_mean_log1p_100,delta_mean_log1p_50,same_signed_direction,wasserstein_log1p_100,wasserstein_log1p_50,comparable
Aatrox|16.12,Aatrox,16.12,True,toward_lower_experience,approximately_stable,False,-0.2992253645188656,-0.08406422156140592,True,0.3221971537464607,0.21079237482408494,True
Aatrox|16.2,Aatrox,16.2,False,toward_lower_experience,approximately_stable,False,-0.10563099089774208,-0.07821057277675303,True,0.5535363823031237,0.335940535521247,True
Ahri|16.3,Ahri,16.3,True,toward_higher_experience,approximately_stable,False,0.4833456528383764,0.08486779864523386,True,0.4888557163829816,0.13680877905677385,True
Ahri|16.6,Ahri,16.6,True,approximately_stable,toward_higher_experience,False,0.012961505543054308,0.11072350038581624,True,0.49914795225929276,0.43965526676845734,True
Akali|16.5,Akali,16.5,True,toward_higher_experience,toward_higher_experience,True,0.2862752001159714,0.46115973988509923,True,0.28627520011597163,0.4611597398850993,True
Akshan|16.1,Akshan,16.1,False,toward_higher_experience,toward_higher_experience,True,2.1409714798520554,0.9927670296505631,True,2.140971479852055,1.0100883501695443,True
Alistar|16.15,Alistar,16.15,True,toward_higher_experience,toward_higher_experience,True,0.5354424018437876,0.15080571247959323,True,0.5354424018437877,0.1778367196868042,True
Ambessa|16.10,Ambessa,16.10,True,toward_lower_experience,toward_lower_experience,True,-0.23690225739095538,-0.1918562662981943,True,0.41018905253094196,0.25293259620843067,True
Ambessa|16.4,Ambessa,16.4,False,toward_higher_experience,toward_higher_experience,True,0.626799995371147,0.5028578951576768,True,0.626799995371147,0.5765788239046158,True
Ambessa|16.9,Ambessa,16.9,True,toward_higher_experience,approximately_stable,False,0.29438952597454016,-0.06341288391173439,False,0.2943895259745402,0.24721777188717253,True
Anivia|16.10,Anivia,16.10,True,approximately_stable,toward_higher_experience,False,0.0321096135252108,0.3872170763269346,True,0.22373317458523875,0.43323293789197337,True
Annie|16.4,Annie,16.4,False,toward_higher_experience,toward_higher_experience,True,0.46209812037329684,0.23104906018664842,True,0.4620981203732969,0.23104906018664845,True
Aphelios|16.1,Aphelios,16.1,True,toward_lower_experience,toward_lower_experience,True,-0.42092002407619256,-0.6514265749051386,True,0.7075128075052636,0.8051463274712806,True
Aphelios|16.13,Aphelios,16.13,False,toward_lower_experience,toward_higher_experience,False,-0.1643515237572084,0.28509014248917586,False,0.32230803032452354,0.41400487759468524,True
Aphelios|16.4,Aphelios,16.4,False,approximately_stable,toward_lower_experience,False,0.024927572893515215,-0.5217750130083614,False,0.7817317265630096,0.6623679401858651,True
Ashe|16.1,Ashe,16.1,False,toward_higher_experience,toward_higher_experience,True,0.36339057663451124,0.36318901054006475,True,0.41566683644368496,0.3798804346181299,True
Ashe|16.10,Ashe,16.10,True,approximately_stable,approximately_stable,True,0.023626936434925305,-0.07957250141588379,False,0.1604492336624171,0.26064677328236524,True
Ashe|16.2,Ashe,16.2,False,toward_higher_experience,toward_higher_experience,True,0.13483135485570452,0.15805075363829602,True,0.3774328680516855,0.23266619202968583,True
Aurelion Sol|16.17,Aurelion Sol,16.17,False,not_computable,not_computable,False,,,False,,,False
Azir|16.14,Azir,16.14,False,approximately_stable,toward_higher_experience,False,0.07281101024727077,0.5200175143965917,True,0.09567437578325039,0.6129628504158516,True
Azir|16.16,Azir,16.16,False,toward_lower_experience,toward_lower_experience,True,-0.9787733709165258,-0.705030813606834,True,0.9844236295291393,0.7151335634016688,True
Azir|16.5,Azir,16.5,False,not_computable,toward_higher_experience,False,,0.6931471805599453,False,,0.6931471805599453,False
Azir|16.6,Azir,16.6,False,not_computable,toward_lower_experience,False,,-0.34657359027997264,False,,0.34657359027997264,False
Bard|16.13,Bard,16.13,True,toward_lower_experience,toward_lower_experience,True,-0.26170634700178996,-0.2654171561421903,True,0.3427993686234232,0.3040328807239204,True
Bel'Veth|16.15,Bel'Veth,16.15,False,not_computable,not_computable,False,,,False,,,False
Bel'Veth|16.16,Bel'Veth,16.16,False,not_computable,not_computable,False,,,False,,,False
Bel'Veth|16.3,Bel'Veth,16.3,False,not_computable,not_computable,False,,,False,,,False
Brand|16.11,Brand,16.11,True,approximately_stable,approximately_stable,True,-0.01891660036216347,-0.08642904225444731,True,0.26997263337883437,0.08642904225444732,True
Brand|16.13,Brand,16.13,True,toward_lower_experience,approximately_stable,False,-0.3545773611187081,-0.05994075982562591,True,0.3833660155827969,0.13461950454427743,True
Brand|16.4,Brand,16.4,True,toward_lower_experience,toward_higher_experience,False,-0.29496342708488,0.1745158651556023,False,0.36934461085628323,0.1861005825301213,True
Braum|16.3,Braum,16.3,True,approximately_stable,toward_higher_experience,False,-0.0404106271418353,0.39438864063550727,False,0.29395657994811936,0.39438864063550727,True
Braum|16.4,Braum,16.4,True,toward_higher_experience,toward_higher_experience,True,0.5882160289617224,0.7655972331177636,True,0.6946735773921916,0.7655972331177637,True
Briar|16.3,Briar,16.3,False,toward_lower_experience,toward_lower_experience,True,-0.31705242003992073,-0.1399153541716991,True,0.5547028819461873,0.17952376448940993,True
Briar|16.9,Briar,16.9,False,toward_lower_experience,toward_higher_experience,False,-0.29389333245105964,1.1851160204964712,False,0.8047189562170501,1.1851160204964712,True
Caitlyn|16.1,Caitlyn,16.1,True,toward_lower_experience,toward_lower_experience,True,-0.49337157239960283,-0.25183178641063886,True,0.49337157239960283,0.25183178641063897,True
Camille|16.16,Camille,16.16,True,approximately_stable,approximately_stable,True,-0.039563222373316664,0.041971406554955015,False,0.4096013888655779,0.5532011726790649,True
Camille|16.4,Camille,16.4,False,toward_lower_experience,toward_lower_experience,True,-1.0121847560247486,-0.7752731973029543,True,1.1337324605540515,0.7752731973029542,True
Cassiopeia|16.1,Cassiopeia,16.1,False,toward_higher_experience,toward_higher_experience,True,1.0649879247614886,0.9925855804703873,True,1.0649879247614886,1.0370960446785618,True
Cassiopeia|16.13,Cassiopeia,16.13,False,toward_higher_experience,toward_higher_experience,True,0.5082723357037999,0.9534161491043835,True,0.6694841929001468,0.9534161491043835,True
Cassiopeia|16.6,Cassiopeia,16.6,False,approximately_stable,toward_higher_experience,False,0.0,0.34657359027997264,True,0.0,0.34657359027997264,True
Cassiopeia|16.7,Cassiopeia,16.7,False,toward_higher_experience,toward_higher_experience,True,3.4965075614664802,2.1383330595080277,True,3.4965075614664802,2.1383330595080277,True
Cho'Gath|16.17,Cho'Gath,16.17,False,not_computable,not_computable,False,,,False,,,False
Corki|16.1,Corki,16.1,False,not_computable,toward_higher_experience,False,,0.9729550745276566,False,,0.9729550745276566,False
Corki|16.14,Corki,16.14,False,toward_lower_experience,toward_lower_experience,True,-0.33833520213421453,-0.348154649802933,True,0.3383352021342146,0.3481546498029328,True
Darius|16.4,Darius,16.4,True,toward_lower_experience,toward_higher_experience,False,-0.3251541460942895,0.1244146100187613,False,0.32515414609428933,0.2234943778076497,True
Diana|16.11,Diana,16.11,True,approximately_stable,toward_lower_experience,False,-0.07689025677892858,-0.12977058899558536,True,0.3528546664511099,0.22318369439990887,True
Diana|16.3,Diana,16.3,True,toward_higher_experience,toward_higher_experience,True,0.7852072617879124,0.6379446329841902,True,0.793154438387714,0.6480317791252517,True
Dr. Mundo|16.8,Dr. Mundo,16.8,False,not_computable,not_computable,False,,,False,,,False
Draven|16.1,Draven,16.1,False,toward_higher_experience,toward_lower_experience,False,0.6307819656520495,-0.3785883588264338,False,0.731117313383125,0.46489298056196793,True
Draven|16.13,Draven,16.13,False,toward_lower_experience,toward_lower_experience,True,-0.3615961071826952,-1.091126218468856,True,0.5391639537798071,1.091126218468856,True
Draven|16.3,Draven,16.3,False,toward_higher_experience,toward_higher_experience,True,0.5541813272113596,0.35695815998239255,True,0.7585115767177557,0.6342170322063706,True
Ekko|16.11,Ekko,16.11,False,toward_higher_experience,toward_higher_experience,True,0.5888422874654251,0.30604104590062386,True,0.5888422874654248,0.5205007691865825,True
Ekko|16.3,Ekko,16.3,True,toward_higher_experience,toward_lower_experience,False,0.2542118124411823,-0.24534065240560066,False,0.5846690130396202,0.24534065240560066,True
Elise|16.1,Elise,16.1,False,toward_lower_experience,toward_lower_experience,True,-1.0986122886681098,-1.1945063128187032,True,1.0986122886681098,1.1945063128187035,True
Ezreal|16.3,Ezreal,16.3,True,toward_higher_experience,approximately_stable,False,1.0564273975108218,0.05911863194306899,True,1.0564273975108218,0.1719304282435793,True
Ezreal|16.9,Ezreal,16.9,True,toward_lower_experience,toward_lower_experience,True,-0.543080456525384,-0.5721196223405652,True,0.5461671355281905,0.5721196223405651,True
Fizz|16.4,Fizz,16.4,False,approximately_stable,toward_lower_experience,False,-0.023564222344897634,-0.13862943611198908,True,0.4533006214238332,0.1386294361119891,True
