event_id,champion,patch,pre_patch,change_direction,higher_support_view,period,observed_users,observed_matches,experience_eligible_users,experience_eligible_matches,eligible_user_retention_share,eligible_match_retention_share,both_period_users,eligible_both_period_users,eligible_both_period_matches
Akshan|16.1,Akshan,16.1,15.24,,False,pre,8,22,5,13,0.625,0.5909090909090909,2,2,7
Akshan|16.1,Akshan,16.1,15.24,,False,post,4,7,2,5,0.5,0.7142857142857143,2,2,5
Aphelios|16.1,Aphelios,16.1,15.24,,True,pre,12,67,4,18,0.3333333333333333,0.26865671641791045,8,2,12
Aphelios|16.1,Aphelios,16.1,15.24,,True,post,19,100,10,68,0.5263157894736842,0.68,8,3,10
Ashe|16.1,Ashe,16.1,15.24,,False,pre,24,81,13,41,0.5416666666666666,0.5061728395061729,3,2,16
Ashe|16.1,Ashe,16.1,15.24,,False,post,7,15,5,9,0.7142857142857143,0.6,3,3,6
Caitlyn|16.1,Caitlyn,16.1,15.24,,True,pre,22,77,15,62,0.6818181818181818,0.8051948051948052,11,6,43
Caitlyn|16.1,Caitlyn,16.1,15.24,,True,post,31,83,17,45,0.5483870967741935,0.5421686746987951,11,9,19
Cassiopeia|16.1,Cassiopeia,16.1,15.24,,False,pre,9,19,5,15,0.5555555555555556,0.7894736842105263,1,1,6
Cassiopeia|16.1,Cassiopeia,16.1,15.24,,False,post,3,6,2,3,0.6666666666666666,0.5,1,1,2
Corki|16.1,Corki,16.1,15.24,,False,pre,6,13,3,4,0.5,0.3076923076923077,2,0,0
Corki|16.1,Corki,16.1,15.24,,False,post,5,13,1,2,0.2,0.15384615384615385,2,0,0
Draven|16.1,Draven,16.1,15.24,,False,pre,7,64,6,40,0.8571428571428571,0.625,3,3,11
Draven|16.1,Draven,16.1,15.24,,False,post,5,27,4,26,0.8,0.9629629629629629,3,3,19
Elise|16.1,Elise,16.1,15.24,,False,pre,5,11,2,3,0.4,0.2727272727272727,0,0,0
Elise|16.1,Elise,16.1,15.24,,False,post,4,12,3,10,0.75,0.8333333333333334,0,0,0
Gangplank|16.1,Gangplank,16.1,15.24,,False,pre,2,2,1,1,0.5,0.5,0,0,0
Gangplank|16.1,Gangplank,16.1,15.24,,False,post,5,14,5,14,1.0,1.0,0,0,0
Garen|16.1,Garen,16.1,15.24,,True,pre,18,50,11,34,0.6111111111111112,0.68,5,3,14
Garen|16.1,Garen,16.1,15.24,,True,post,15,25,10,17,0.6666666666666666,0.68,5,4,9
Graves|16.1,Graves,16.1,15.24,,False,pre,9,25,6,13,0.6666666666666666,0.52,2,0,0
Graves|16.1,Graves,16.1,15.24,,False,post,7,43,4,22,0.5714285714285714,0.5116279069767442,2,2,11
Jax|16.1,Jax,16.1,15.24,,True,pre,19,99,13,83,0.6842105263157895,0.8383838383838383,7,6,63
Jax|16.1,Jax,16.1,15.24,,True,post,19,44,13,34,0.6842105263157895,0.7727272727272727,7,7,23
Jhin|16.1,Jhin,16.1,15.24,,True,pre,30,106,15,51,0.5,0.4811320754716981,9,6,22
Jhin|16.1,Jhin,16.1,15.24,,True,post,17,54,12,45,0.7058823529411765,0.8333333333333334,9,8,28
Jinx|16.1,Jinx,16.1,15.24,,True,pre,16,39,10,26,0.625,0.6666666666666666,10,6,16
Jinx|16.1,Jinx,16.1,15.24,,True,post,21,43,9,15,0.42857142857142855,0.3488372093023256,10,7,13
Kindred|16.1,Kindred,16.1,15.24,,False,pre,9,17,4,6,0.4444444444444444,0.35294117647058826,3,0,0
Kindred|16.1,Kindred,16.1,15.24,,False,post,7,22,3,11,0.42857142857142855,0.5,3,2,10
Lucian|16.1,Lucian,16.1,15.24,,True,pre,17,50,9,15,0.5294117647058824,0.3,6,2,3
Lucian|16.1,Lucian,16.1,15.24,,True,post,21,50,7,13,0.3333333333333333,0.26,6,4,10
Miss Fortune|16.1,Miss Fortune,16.1,15.24,,False,pre,0,0,0,0,,,0,0,0
Miss Fortune|16.1,Miss Fortune,16.1,15.24,,False,post,0,0,0,0,,,0,0,0
Nilah|16.1,Nilah,16.1,15.24,,False,pre,3,6,0,0,0.0,0.0,2,0,0
Nilah|16.1,Nilah,16.1,15.24,,False,post,4,5,3,4,0.75,0.8,2,1,2
Quinn|16.1,Quinn,16.1,15.24,,False,pre,6,14,3,11,0.5,0.7857142857142857,1,1,1
Quinn|16.1,Quinn,16.1,15.24,,False,post,5,6,3,3,0.6,0.5,1,1,1
Rengar|16.1,Rengar,16.1,15.24,,False,pre,8,31,5,12,0.625,0.3870967741935484,0,0,0
Rengar|16.1,Rengar,16.1,15.24,,False,post,5,5,2,2,0.4,0.4,0,0,0
Samira|16.1,Samira,16.1,15.24,,False,pre,9,12,7,10,0.7777777777777778,0.8333333333333334,1,1,2
Samira|16.1,Samira,16.1,15.24,,False,post,4,6,3,5,0.75,0.8333333333333334,1,1,1
Senna|16.1,Senna,16.1,15.24,,True,pre,13,21,5,6,0.38461538461538464,0.2857142857142857,1,0,0
Senna|16.1,Senna,16.1,15.24,,True,post,10,22,5,15,0.5,0.6818181818181818,1,0,0
Shaco|16.1,Shaco,16.1,15.24,,False,pre,9,97,7,88,0.7777777777777778,0.9072164948453608,5,4,85
Shaco|16.1,Shaco,16.1,15.24,,False,post,9,83,6,30,0.6666666666666666,0.3614457831325301,5,5,28
Sivir|16.1,Sivir,16.1,15.24,,False,pre,8,20,5,12,0.625,0.6,4,3,8
Sivir|16.1,Sivir,16.1,15.24,,False,post,20,46,12,31,0.6,0.6739130434782609,4,3,4
Smolder|16.1,Smolder,16.1,15.24,,True,pre,19,100,12,88,0.631578947368421,0.88,7,3,70
Smolder|16.1,Smolder,16.1,15.24,,True,post,18,62,11,45,0.6111111111111112,0.7258064516129032,7,6,20
Tristana|16.1,Tristana,16.1,15.24,,True,pre,18,54,12,19,0.6666666666666666,0.35185185185185186,1,0,0
Tristana|16.1,Tristana,16.1,15.24,,True,post,10,16,4,8,0.4,0.5,1,0,0
Tryndamere|16.1,Tryndamere,16.1,15.24,,False,pre,1,1,0,0,0.0,0.0,0,0,0
Tryndamere|16.1,Tryndamere,16.1,15.24,,False,post,8,14,4,6,0.5,0.42857142857142855,0,0,0
Twitch|16.1,Twitch,16.1,15.24,,False,pre,9,18,4,10,0.4444444444444444,0.5555555555555556,5,2,8
Twitch|16.1,Twitch,16.1,15.24,,False,post,16,36,9,15,0.5625,0.4166666666666667,5,4,7
Viego|16.1,Viego,16.1,15.24,,True,pre,12,70,5,24,0.4166666666666667,0.34285714285714286,4,3,21
Viego|16.1,Viego,16.1,15.24,,True,post,13,70,6,24,0.46153846153846156,0.34285714285714286,4,4,22
Xayah|16.1,Xayah,16.1,15.24,,True,pre,12,38,5,7,0.4166666666666667,0.18421052631578946,3,0,0
Xayah|16.1,Xayah,16.1,15.24,,True,post,11,24,8,10,0.7272727272727273,0.4166666666666667,3,2,4
Yasuo|16.1,Yasuo,16.1,15.24,,True,pre,18,65,10,44,0.5555555555555556,0.676923076923077,8,5,34
Yasuo|16.1,Yasuo,16.1,15.24,,True,post,20,126,9,45,0.45,0.35714285714285715,8,5,39
