event_id,match_id,player_id,champion,patch,pre_patch,period,post,win,rank_stratum,primary_role,prior_champion_count_100,log1p_prior_count,familiarity_group_100,experience_eligible_100,prior_champion_count_50,log1p_prior_count_50,experience_eligible_50,participation_status,higher_support_view
Akshan|16.1,NA1_5427228527,P460,Akshan,16.1,15.24,pre,0,1,MASTER+,MIDDLE,30,3.4339872044851463,established_5plus,True,16,2.833213344056216,True,both,False
Akshan|16.1,NA1_5429250619,P460,Akshan,16.1,15.24,pre,0,0,MASTER+,MIDDLE,29,3.4011973816621555,established_5plus,True,15,2.772588722239781,True,both,False
Akshan|16.1,NA1_5429517196,P460,Akshan,16.1,15.24,pre,0,0,MASTER+,MIDDLE,30,3.4339872044851463,established_5plus,True,15,2.772588722239781,True,both,False
Akshan|16.1,NA1_5429984915,P455,Akshan,16.1,15.24,pre,0,1,MASTER+,MIDDLE,,,,False,5,1.791759469228055,True,both,False
Akshan|16.1,NA1_5430129645,P460,Akshan,16.1,15.24,pre,0,0,MASTER+,MIDDLE,30,3.4339872044851463,established_5plus,True,15,2.772588722239781,True,both,False
Akshan|16.1,NA1_5430198333,P455,Akshan,16.1,15.24,pre,0,1,MASTER+,MIDDLE,,,,False,6,1.9459101490553132,True,both,False
Akshan|16.1,NA1_5434112393,P146,Akshan,16.1,15.24,pre,0,1,PLATINUM,MIDDLE,,,,False,1,0.6931471805599453,True,pre_only,False
Akshan|16.1,NA1_5434223340,P455,Akshan,16.1,15.24,pre,0,0,MASTER+,MIDDLE,,,,False,7,2.0794415416798357,True,both,False
Akshan|16.1,NA1_5434783433,P365,Akshan,16.1,15.24,pre,0,1,DIAMOND,TOP,0,0.0,observed_new,True,0,0.0,True,pre_only,False
Akshan|16.1,NA1_5434795003,P365,Akshan,16.1,15.24,pre,0,1,DIAMOND,TOP,1,0.6931471805599453,limited_1_4,True,1,0.6931471805599453,True,pre_only,False
Akshan|16.1,NA1_5434803350,P365,Akshan,16.1,15.24,pre,0,1,DIAMOND,TOP,2,1.0986122886681098,limited_1_4,True,2,1.0986122886681098,True,pre_only,False
Akshan|16.1,NA1_5435159200,P455,Akshan,16.1,15.24,pre,0,0,MASTER+,MIDDLE,,,,False,8,2.1972245773362196,True,both,False
Akshan|16.1,NA1_5435801136,P455,Akshan,16.1,15.24,pre,0,1,MASTER+,MIDDLE,,,,False,9,2.302585092994046,True,both,False
Akshan|16.1,NA1_5438073184,P460,Akshan,16.1,15.24,pre,0,0,MASTER+,MIDDLE,29,3.4011973816621555,established_5plus,True,14,2.70805020110221,True,both,False
Akshan|16.1,NA1_5438407230,P338,Akshan,16.1,15.24,pre,0,0,DIAMOND,UTILITY,0,0.0,observed_new,True,0,0.0,True,pre_only,False
Akshan|16.1,NA1_5438869272,P053,Akshan,16.1,15.24,pre,0,1,GOLD,TOP,,,,False,0,0.0,True,pre_only,False
Akshan|16.1,NA1_5438914884,P053,Akshan,16.1,15.24,pre,0,0,GOLD,TOP,,,,False,1,0.6931471805599453,True,pre_only,False
Akshan|16.1,NA1_5444557963,P137,Akshan,16.1,15.24,pre,0,1,PLATINUM,MIDDLE,,,,False,,,False,pre_only,False
Akshan|16.1,NA1_5447882623,P455,Akshan,16.1,15.24,pre,0,0,MASTER+,MIDDLE,10,2.3978952727983707,established_5plus,True,9,2.302585092994046,True,both,False
Akshan|16.1,NA1_5448011852,P455,Akshan,16.1,15.24,pre,0,1,MASTER+,MIDDLE,11,2.4849066497880004,established_5plus,True,10,2.3978952727983707,True,both,False
Akshan|16.1,NA1_5450019281,P341,Akshan,16.1,15.24,pre,0,0,DIAMOND,BOTTOM,0,0.0,observed_new,True,0,0.0,True,pre_only,False
Akshan|16.1,NA1_5455272970,P338,Akshan,16.1,15.24,pre,0,0,DIAMOND,UTILITY,1,0.6931471805599453,limited_1_4,True,1,0.6931471805599453,True,pre_only,False
Akshan|16.1,NA1_5458874078,P455,Akshan,16.1,15.24,post,1,0,MASTER+,MIDDLE,12,2.5649493574615367,established_5plus,True,11,2.4849066497880004,True,both,False
Akshan|16.1,NA1_5459768974,P455,Akshan,16.1,15.24,post,1,0,MASTER+,MIDDLE,13,2.6390573296152584,established_5plus,True,8,2.1972245773362196,True,both,False
Akshan|16.1,NA1_5459791864,P455,Akshan,16.1,15.24,post,1,0,MASTER+,MIDDLE,14,2.70805020110221,established_5plus,True,9,2.302585092994046,True,both,False
Akshan|16.1,NA1_5466054222,P460,Akshan,16.1,15.24,post,1,1,MASTER+,MIDDLE,30,3.4339872044851463,established_5plus,True,15,2.772588722239781,True,both,False
Akshan|16.1,NA1_5469576396,P460,Akshan,16.1,15.24,post,1,1,MASTER+,MIDDLE,31,3.4657359027997265,established_5plus,True,15,2.772588722239781,True,both,False
Akshan|16.1,NA1_5470000354,P004,Akshan,16.1,15.24,post,1,0,GOLD,MIDDLE,,,,False,0,0.0,True,post_only,False
Akshan|16.1,NA1_5471354588,P360,Akshan,16.1,15.24,post,1,1,DIAMOND,MIDDLE,,,,False,,,False,post_only,False
Aphelios|16.1,NA1_5433175852,P467,Aphelios,16.1,15.24,pre,0,0,MASTER+,BOTTOM,,,,False,,,False,both,True
Aphelios|16.1,NA1_5433936913,P262,Aphelios,16.1,15.24,pre,0,0,EMERALD,MIDDLE,,,,False,,,False,pre_only,True
Aphelios|16.1,NA1_5434077006,P262,Aphelios,16.1,15.24,pre,0,1,EMERALD,MIDDLE,,,,False,,,False,pre_only,True
Aphelios|16.1,NA1_5434101870,P262,Aphelios,16.1,15.24,pre,0,0,EMERALD,MIDDLE,,,,False,,,False,pre_only,True
Aphelios|16.1,NA1_5434252925,P053,Aphelios,16.1,15.24,pre,0,1,GOLD,TOP,,,,False,,,False,pre_only,True
Aphelios|16.1,NA1_5434958180,P384,Aphelios,16.1,15.24,pre,0,1,DIAMOND,BOTTOM,,,,False,12,2.5649493574615367,True,both,True
Aphelios|16.1,NA1_5435895144,P384,Aphelios,16.1,15.24,pre,0,1,DIAMOND,BOTTOM,,,,False,11,2.4849066497880004,True,both,True
Aphelios|16.1,NA1_5436970327,P087,Aphelios,16.1,15.24,pre,0,1,GOLD,BOTTOM,18,2.9444389791664403,established_5plus,True,17,2.8903717578961645,True,pre_only,True
Aphelios|16.1,NA1_5437134103,P053,Aphelios,16.1,15.24,pre,0,0,GOLD,TOP,,,,False,,,False,pre_only,True
Aphelios|16.1,NA1_5437185556,P087,Aphelios,16.1,15.24,pre,0,1,GOLD,BOTTOM,19,2.995732273553991,established_5plus,True,14,2.70805020110221,True,pre_only,True
Aphelios|16.1,NA1_5437825141,P384,Aphelios,16.1,15.24,pre,0,1,DIAMOND,BOTTOM,,,,False,11,2.4849066497880004,True,both,True
Aphelios|16.1,NA1_5438188598,P262,Aphelios,16.1,15.24,pre,0,0,EMERALD,MIDDLE,,,,False,,,False,pre_only,True
Aphelios|16.1,NA1_5438224101,P262,Aphelios,16.1,15.24,pre,0,1,EMERALD,MIDDLE,,,,False,,,False,pre_only,True
Aphelios|16.1,NA1_5438270406,P262,Aphelios,16.1,15.24,pre,0,1,EMERALD,MIDDLE,,,,False,,,False,pre_only,True
Aphelios|16.1,NA1_5438336160,P262,Aphelios,16.1,15.24,pre,0,0,EMERALD,MIDDLE,,,,False,,,False,pre_only,True
Aphelios|16.1,NA1_5439039320,P484,Aphelios,16.1,15.24,pre,0,1,MASTER+,BOTTOM,,,,False,,,False,both,True
Aphelios|16.1,NA1_5439711388,P484,Aphelios,16.1,15.24,pre,0,1,MASTER+,BOTTOM,,,,False,,,False,both,True
Aphelios|16.1,NA1_5439742894,P484,Aphelios,16.1,15.24,pre,0,0,MASTER+,BOTTOM,,,,False,,,False,both,True
Aphelios|16.1,NA1_5440234575,P087,Aphelios,16.1,15.24,pre,0,0,GOLD,BOTTOM,20,3.044522437723423,established_5plus,True,14,2.70805020110221,True,pre_only,True
Aphelios|16.1,NA1_5440249547,P087,Aphelios,16.1,15.24,pre,0,1,GOLD,BOTTOM,21,3.091042453358316,established_5plus,True,14,2.70805020110221,True,pre_only,True
Aphelios|16.1,NA1_5440287346,P201,Aphelios,16.1,15.24,pre,0,1,EMERALD,MIDDLE,0,0.0,observed_new,True,0,0.0,True,both,True
Aphelios|16.1,NA1_5442279589,P484,Aphelios,16.1,15.24,pre,0,1,MASTER+,BOTTOM,,,,False,,,False,both,True
Aphelios|16.1,NA1_5442303689,P484,Aphelios,16.1,15.24,pre,0,0,MASTER+,BOTTOM,,,,False,,,False,both,True
Aphelios|16.1,NA1_5443614809,P384,Aphelios,16.1,15.24,pre,0,0,DIAMOND,BOTTOM,22,3.1354942159291497,established_5plus,True,4,1.6094379124341003,True,both,True
Aphelios|16.1,NA1_5443633288,P384,Aphelios,16.1,15.24,pre,0,1,DIAMOND,BOTTOM,23,3.1780538303479458,established_5plus,True,4,1.6094379124341003,True,both,True
Aphelios|16.1,NA1_5443661300,P384,Aphelios,16.1,15.24,pre,0,1,DIAMOND,BOTTOM,24,3.2188758248682006,established_5plus,True,5,1.791759469228055,True,both,True
Aphelios|16.1,NA1_5443683165,P384,Aphelios,16.1,15.24,pre,0,0,DIAMOND,BOTTOM,25,3.258096538021482,established_5plus,True,6,1.9459101490553132,True,both,True
Aphelios|16.1,NA1_5443710606,P484,Aphelios,16.1,15.24,pre,0,1,MASTER+,BOTTOM,,,,False,,,False,both,True
Aphelios|16.1,NA1_5443759730,P189,Aphelios,16.1,15.24,pre,0,0,PLATINUM,TOP,,,,False,,,False,both,True
Aphelios|16.1,NA1_5443852499,P484,Aphelios,16.1,15.24,pre,0,1,MASTER+,BOTTOM,,,,False,,,False,both,True
Aphelios|16.1,NA1_5443885771,P484,Aphelios,16.1,15.24,pre,0,1,MASTER+,BOTTOM,,,,False,,,False,both,True
Aphelios|16.1,NA1_5443913717,P484,Aphelios,16.1,15.24,pre,0,0,MASTER+,BOTTOM,,,,False,,,False,both,True
