event_id,champion,patch,eligible_pre_matches,eligible_post_matches,eligible_pre_users,eligible_post_users,standardized_pre,standardized_post,prediction_in_unit_interval,pre_outcome_all_same,post_outcome_all_same,separated_event_period_cells,converged,iterations,ridge_penalty,negative_log_likelihood_penalized,mean_log_loss,brier_score,min_predicted_probability,max_predicted_probability,max_absolute_coefficient,gradient_max_abs,model_rows,model_parameters
Aatrox|16.12,Aatrox,16.12,24,45,13,11,0.4583333593681249,0.5786328327898096,True,False,False,0,True,15,1e-06,5792.920822596843,0.6813597453134658,0.24434592394626622,1.5480541718066008e-06,0.9999936847436985,13.616285366408219,9.245278248688956e-11,8502,203
Ahri|16.3,Ahri,16.3,20,37,12,11,0.5000000167916439,0.5969817447568414,True,False,False,0,True,15,1e-06,5792.920822596843,0.6813597453134658,0.24434592394626622,1.5480541718066008e-06,0.9999936847436985,13.616285366408219,9.245278248688956e-11,8502,203
Ahri|16.6,Ahri,16.6,38,23,11,14,0.6052631211053625,0.3887443648397261,True,False,False,0,True,15,1e-06,5792.920822596843,0.6813597453134658,0.24434592394626622,1.5480541718066008e-06,0.9999936847436985,13.616285366408219,9.245278248688956e-11,8502,203
Akali|16.5,Akali,16.5,67,22,13,12,0.5223880556200742,0.49624791146864766,True,False,False,0,True,15,1e-06,5792.920822596843,0.6813597453134658,0.24434592394626622,1.5480541718066008e-06,0.9999936847436985,13.616285366408219,9.245278248688956e-11,8502,203
Alistar|16.15,Alistar,16.15,20,35,8,12,0.5499999941465219,0.5703102940711453,True,False,False,0,True,15,1e-06,5792.920822596843,0.6813597453134658,0.24434592394626622,1.5480541718066008e-06,0.9999936847436985,13.616285366408219,9.245278248688956e-11,8502,203
Ambessa|16.10,Ambessa,16.10,15,14,6,8,0.4666667016626747,0.5782760261455415,True,False,False,0,True,15,1e-06,5792.920822596843,0.6813597453134658,0.24434592394626622,1.5480541718066008e-06,0.9999936847436985,13.616285366408219,9.245278248688956e-11,8502,203
Ambessa|16.9,Ambessa,16.9,36,15,9,6,0.4166666788212128,0.46134055007568847,True,False,False,0,True,15,1e-06,5792.920822596843,0.6813597453134658,0.24434592394626622,1.5480541718066008e-06,0.9999936847436985,13.616285366408219,9.245278248688956e-11,8502,203
Anivia|16.10,Anivia,16.10,24,85,6,10,0.5416666498287394,0.5101346581247054,True,False,False,0,True,15,1e-06,5792.920822596843,0.6813597453134658,0.24434592394626622,1.5480541718066008e-06,0.9999936847436985,13.616285366408219,9.245278248688956e-11,8502,203
Aphelios|16.1,Aphelios,16.1,18,68,4,10,0.55555552568965,0.4602137761947885,True,False,False,0,True,15,1e-06,5792.920822596843,0.6813597453134658,0.24434592394626622,1.5480541718066008e-06,0.9999936847436985,13.616285366408219,9.245278248688956e-11,8502,203
Ashe|16.10,Ashe,16.10,52,50,19,23,0.5961538278546249,0.4466050153153781,True,False,False,0,True,15,1e-06,5792.920822596843,0.6813597453134658,0.24434592394626622,1.5480541718066008e-06,0.9999936847436985,13.616285366408219,9.245278248688956e-11,8502,203
Bard|16.13,Bard,16.13,20,87,6,11,0.4500000224359586,0.5117843859228357,True,False,False,0,True,15,1e-06,5792.920822596843,0.6813597453134658,0.24434592394626622,1.5480541718066008e-06,0.9999936847436985,13.616285366408219,9.245278248688956e-11,8502,203
Brand|16.11,Brand,16.11,36,17,15,11,0.49999997324034406,0.2860730806807835,True,False,False,0,True,15,1e-06,5792.920822596843,0.6813597453134658,0.24434592394626622,1.5480541718066008e-06,0.9999936847436985,13.616285366408219,9.245278248688956e-11,8502,203
Brand|16.13,Brand,16.13,41,86,16,21,0.48780488265970495,0.5156011696883369,True,False,False,0,True,15,1e-06,5792.920822596843,0.6813597453134658,0.24434592394626622,1.5480541718066008e-06,0.9999936847436985,13.616285366408219,9.245278248688956e-11,8502,203
Brand|16.4,Brand,16.4,31,45,8,6,0.5483870987214073,0.6012559149295551,True,False,False,0,True,15,1e-06,5792.920822596843,0.6813597453134658,0.24434592394626622,1.5480541718066008e-06,0.9999936847436985,13.616285366408219,9.245278248688956e-11,8502,203
Braum|16.3,Braum,16.3,18,42,9,11,0.5555555468975567,0.5813733103640661,True,False,False,0,True,15,1e-06,5792.920822596843,0.6813597453134658,0.24434592394626622,1.5480541718066008e-06,0.9999936847436985,13.616285366408219,9.245278248688956e-11,8502,203
Braum|16.4,Braum,16.4,42,14,11,5,0.5952380710533545,0.43460250008490076,True,False,False,0,True,15,1e-06,5792.920822596843,0.6813597453134658,0.24434592394626622,1.5480541718066008e-06,0.9999936847436985,13.616285366408219,9.245278248688956e-11,8502,203
Caitlyn|16.1,Caitlyn,16.1,62,45,15,17,0.4838709648363489,0.416052849748172,True,False,False,0,True,15,1e-06,5792.920822596843,0.6813597453134658,0.24434592394626622,1.5480541718066008e-06,0.9999936847436985,13.616285366408219,9.245278248688956e-11,8502,203
Camille|16.16,Camille,16.16,48,32,14,14,0.4791666664588199,0.4455069021642231,True,False,False,0,True,15,1e-06,5792.920822596843,0.6813597453134658,0.24434592394626622,1.5480541718066008e-06,0.9999936847436985,13.616285366408219,9.245278248688956e-11,8502,203
