variant,event_id,window,pre_matches,post_matches,pre_users,post_users,raw_delta_pp,standardized_delta_pp,standardization_shift_pp,absolute_standardization_shift_pp,direction_flip
M0,Aatrox|16.12,100,24,45,13,11,11.944444444444441,12.029947342168457,0.08550289772401598,0.08550289772401598,False
M0,Ahri|16.3,100,20,37,12,11,9.459459459459463,9.698172796519767,0.23871333706030384,0.23871333706030384,False
M0,Ahri|16.6,100,38,23,11,14,-21.395881006864986,-21.651875626563633,-0.25599461969864734,0.25599461969864734,False
M0,Akali|16.5,100,67,22,13,12,-2.238805970149249,-2.6140144151426514,-0.37520844499340233,0.37520844499340233,False
M0,Alistar|16.15,100,20,35,8,12,2.1428571428571352,2.031029992462341,-0.1118271503947943,0.1118271503947943,False
M0,Ambessa|16.10,100,15,14,6,8,10.476190476190473,11.16093244828667,0.684741972096198,0.684741972096198,False
M0,Ambessa|16.9,100,36,15,9,6,4.999999999999999,4.467387125447569,-0.5326128745524299,0.5326128745524299,False
M0,Anivia|16.10,100,24,85,6,10,-1.225490196078427,-3.153199170403398,-1.927708974324971,1.927708974324971,False
M0,Aphelios|16.1,100,18,68,4,10,-8.496732026143794,-9.534174949486179,-1.0374429233423843,1.0374429233423843,False
M0,Ashe|16.10,100,52,50,19,23,-15.615384615384615,-14.954881253924679,0.660503361459936,0.660503361459936,False
M0,Bard|16.13,100,20,87,6,11,7.873563218390806,6.178436348687688,-1.6951268697031177,1.6951268697031177,False
M0,Brand|16.11,100,36,17,15,11,-20.588235294117645,-21.39268925595606,-0.8044539618384157,0.8044539618384157,False
M0,Brand|16.13,100,41,86,16,21,2.382302892796373,2.7796287028631905,0.39732581006681755,0.39732581006681755,False
M0,Brand|16.4,100,31,45,8,6,5.161290322580648,5.286881620814777,0.12559129823412896,0.12559129823412896,False
M0,Braum|16.3,100,18,42,9,11,3.9682539682539653,2.5817763466509436,-1.3864776216030217,1.3864776216030217,False
M0,Braum|16.4,100,42,14,11,5,-16.666666666666668,-16.063557096845393,0.6031095698212745,0.6031095698212745,False
M0,Caitlyn|16.1,100,62,45,15,17,-8.387096774193548,-6.781811508817687,1.6052852653758611,1.6052852653758611,False
M0,Camille|16.16,100,48,32,14,14,-4.166666666666669,-3.3659764294596775,0.8006902372069913,0.8006902372069913,False
M0,Darius|16.4,100,6,93,5,7,-9.677419354838701,-11.27639258110269,-1.5989732262639897,1.5989732262639897,False
M0,Diana|16.11,100,26,96,10,16,-14.342948717948723,-15.446244281292987,-1.1032955633442647,1.1032955633442647,False
M0,Diana|16.3,100,85,12,20,7,-4.2156862745098,-4.941207958367238,-0.7255216838574388,0.7255216838574388,False
M0,Ekko|16.3,100,24,9,11,8,9.722222222222227,9.488461213600935,-0.23376100862129157,0.23376100862129157,False
M0,Ezreal|16.3,100,8,21,6,9,10.119047619047617,8.286007266389072,-1.8330403526585446,1.8330403526585446,False
M0,Ezreal|16.9,100,33,75,16,18,-5.212121212121207,-6.498169613465149,-1.2860484013439422,1.2860484013439422,False
M0,Galio|16.10,100,15,34,12,18,-8.431372549019612,-8.022940212560597,0.4084323364590148,0.4084323364590148,False
M0,Garen|16.1,100,34,17,11,10,2.941176470588236,2.0647469977570942,-0.8764294728311417,0.8764294728311417,False
M0,Garen|16.14,100,48,49,26,13,7.3129251700680244,5.604976612025547,-1.7079485580424771,1.7079485580424771,False
M0,Garen|16.5,100,5,37,5,17,-19.459459459459456,-18.51034141280168,0.9491180466577767,0.9491180466577767,False
M0,Graves|16.17,100,41,61,18,15,-5.27788884446222,-4.900956393876221,0.3769324505859988,0.3769324505859988,False
M0,Graves|16.7,100,69,81,12,9,-4.83091787439614,-5.9280306854857745,-1.0971128110896347,1.0971128110896347,False
M0,Gwen|16.2,100,42,12,12,5,-17.857142857142854,-18.8961354928338,-1.0389926356909456,1.0389926356909456,False
M0,Irelia|16.17,100,103,80,9,13,2.572815533980588,3.5957738877833934,1.0229583538028053,1.0229583538028053,False
M0,Jax|16.1,100,83,34,13,13,-13.182140326009929,-15.647506018131763,-2.465365692121834,2.465365692121834,False
M0,Jax|16.12,100,47,48,13,9,9.264184397163122,10.73065352726844,1.4664691301053185,1.4664691301053185,False
M0,Jayce|16.14,100,27,29,9,15,-24.521072796934867,-26.75448219231499,-2.2334093953801215,2.2334093953801215,False
M0,Jhin|16.1,100,51,45,15,12,-9.019607843137251,-8.244195023580508,0.7754128195567436,0.7754128195567436,False
M0,Jinx|16.1,100,26,15,10,9,3.3333333333333326,3.7392168879919474,0.4058835546586148,0.4058835546586148,False
M0,Jinx|16.4,100,36,29,11,11,-7.183908045977011,-6.099396802638918,1.0845112433380937,1.0845112433380937,False
M0,Karma|16.7,100,46,56,18,16,-1.785714285714285,-2.6337618046100744,-0.8480475188957894,0.8480475188957894,False
M0,Karma|16.8,100,56,49,16,8,8.928571428571425,7.4798896850839185,-1.4486817434875068,1.4486817434875068,False
M0,Locke|16.14,100,136,51,25,17,-9.313725490196079,-9.200517729912573,0.11320776028350643,0.11320776028350643,False
M0,Locke|16.15,100,51,53,17,13,4.1805401405845375,4.603805853884896,0.4232657133003581,0.4232657133003581,False
M0,Lucian|16.1,100,15,13,9,7,7.179487179487176,7.98653079310288,0.8070436136157042,0.8070436136157042,False
M0,Lux|16.4,100,62,41,13,17,2.753737214791502,4.168619909001836,1.414882694210334,1.414882694210334,False
M0,Malphite|16.2,100,26,24,9,13,0.9615384615384581,2.7122313286705335,1.7506928671320754,1.7506928671320754,False
M0,Mel|16.8,100,27,13,11,8,-1.994301994301989,-2.1094415553993717,-0.11513956109738266,0.11513956109738266,False
M0,Mordekaiser|16.14,100,28,70,13,23,4.285714285714281,4.303437210755357,0.017722925041075754,0.017722925041075754,False
M0,Mordekaiser|16.15,100,70,29,23,17,-2.5615763546797954,-2.2490398803398537,0.3125364743399417,0.3125364743399417,False
M0,Nami|16.14,100,136,104,15,11,1.414027149321273,1.645272025728861,0.23124487640758806,0.23124487640758806,False
M0,Nami|16.7,100,67,87,13,10,-1.3209813003945803,-2.4827007946064903,-1.16171949421191,1.16171949421191,False
