event_id,champion,patch,raw_delta_pp,standardized_delta_pp,adjustment_magnitude_pp,adjustment_ge_2pp,post_only_share_union,abs_delta_observed_new_pp,familiarity_wasserstein_log1p,rank_tvd,role_tvd,n_pre,n_post,experience_eligible_pre,experience_eligible_post,event_support,log1p_event_support,player_match_ess,pre_player_match_ess,post_player_match_ess
Aatrox|16.12,Aatrox,16.12,11.944444444444441,12.029947342168468,0.08550289772402664,False,0.3333333333333333,22.377622377622373,1.8635137494554466,0.17582417582417584,0.1758241758241758,14,13,13,11,11,2.4849066497880004,3.045112781954888,8.228571428571428,3.045112781954888
Ahri|16.3,Ahri,16.3,9.459459459459463,9.698172796519755,0.2387133370602914,False,0.35135135135135137,27.27272727272727,1.230145008031061,0.19384057971014496,0.16304347826086957,24,23,12,11,11,2.4849066497880004,4.704467353951889,8.0,4.704467353951889
Ahri|16.6,Ahri,16.6,-21.395881006864986,-21.651875626563644,0.255994619698658,False,0.3333333333333333,24.025974025974026,0.9042143459916777,0.07058823529411765,0.17941176470588238,20,17,11,14,11,2.4849066497880004,2.6064981949458486,2.6064981949458486,8.672131147540984
Akali|16.5,Akali,16.5,-2.238805970149249,-2.6140144151426514,0.37520844499340233,False,0.3333333333333333,5.769230769230771,0.8079024409161697,0.35096153846153844,0.22115384615384617,16,13,13,12,12,2.5649493574615367,2.114460668864814,2.114460668864814,8.642857142857144
Alistar|16.15,Alistar,16.15,2.1428571428571352,2.031029992462341,0.1118271503947943,False,0.4117647058823529,41.66666666666667,0.970621610980478,0.25,0.31666666666666665,10,12,8,12,8,2.1972245773362196,3.450704225352113,4.761904761904762,3.450704225352113
Ambessa|16.10,Ambessa,16.10,10.476190476190473,11.160932448286681,0.6847419720962087,False,0.375,8.333333333333334,0.7263045665032897,0.3,0.5,10,10,6,8,6,1.9459101490553132,3.813559322033898,3.813559322033898,5.764705882352941
Ambessa|16.9,Ambessa,16.9,4.999999999999999,4.467387125447569,0.5326128745524299,False,0.2777777777777778,16.666666666666664,1.8619378200119767,0.22307692307692312,0.5692307692307692,13,10,9,6,6,1.9459101490553132,3.813559322033898,5.183999999999999,3.813559322033898
Anivia|16.10,Anivia,16.10,-1.225490196078427,-3.153199170403398,1.927708974324971,False,0.3333333333333333,5.555555555555558,1.893040889494301,0.2272727272727273,0.33636363636363636,10,11,6,10,6,1.9459101490553132,1.5737704918032789,1.5737704918032789,3.315741165672327
Aphelios|16.1,Aphelios,16.1,-8.496732026143794,-9.534174949486157,1.037442923342363,False,0.4782608695652174,22.222222222222225,1.2279603060015734,0.2236842105263158,0.15350877192982457,12,19,4,10,4,1.6094379124341003,1.7936384794414273,2.28169014084507,1.7936384794414273
Ashe|16.10,Ashe,16.10,-15.615384615384615,-14.954881253924679,0.660503361459936,False,0.46511627906976744,3.203661327231122,1.155626114605331,0.19915848527349228,0.14866760168302942,23,31,19,23,19,2.995732273553991,8.95364238410596,8.95364238410596,12.88659793814433
