adjustment_rank,event_id,champion,patch,raw_delta_pp,standardized_delta_pp,adjustment_magnitude_pp,adjustment_ge_2pp,post_only_share_union,abs_delta_observed_new_pp,familiarity_wasserstein_log1p,rank_tvd,role_tvd,n_pre,n_post,experience_eligible_pre,experience_eligible_post,event_support,log1p_event_support,player_match_ess,pre_player_match_ess,post_player_match_ess
1,Tristana|16.1,Tristana,16.1,-20.394736842105267,-15.727386091062995,4.667350751042273,True,0.3333333333333333,36.36363636363637,,0.17777777777777776,0.17777777777777776,18,10,12,4,4,1.6094379124341003,2.2857142857142856,6.811320754716982,2.2857142857142856
2,Xayah|16.1,Xayah,16.1,-17.14285714285714,-12.901312703577434,4.241544439279705,True,0.4,11.428571428571432,0.9830877585747856,0.14393939393939395,0.30303030303030304,12,11,5,8,5,1.791759469228055,3.7692307692307696,3.7692307692307696,6.25
3,Twitch|16.4,Twitch,16.4,20.370370370370377,16.94524135648812,3.425129013882259,True,0.47368421052631576,5.454545454545457,0.7693566401109339,0.2692307692307693,0.19230769230769232,10,13,5,11,5,1.791759469228055,2.0739687055476526,4.5,2.0739687055476526
4,Jax|16.1,Jax,16.1,-13.182140326009929,-15.647506018131763,2.465365692121834,True,0.3870967741935484,5.769230769230771,1.6928726431062102,0.2631578947368421,0.3157894736842105,19,19,13,13,13,2.6390573296152584,4.7152635181382605,4.7152635181382605,5.897959183673469
5,Varus|16.3,Varus,16.3,9.18604651162791,6.948695034469932,2.237351477157979,True,0.2857142857142857,47.252747252747255,0.790100705199242,0.2714285714285714,0.35714285714285715,20,14,14,7,7,2.0794415416798357,4.444444444444445,7.030418250950569,4.444444444444445
6,Jayce|16.14,Jayce,16.14,-24.521072796934867,-26.754482192314978,2.233409395380111,True,0.47619047619047616,4.444444444444439,0.8072155308188248,0.23636363636363633,0.1939393939393939,11,15,9,15,9,2.302585092994046,6.942857142857144,6.942857142857144,9.666666666666666
7,Anivia|16.10,Anivia,16.10,-1.225490196078427,-3.153199170403398,1.927708974324971,False,0.3333333333333333,5.555555555555558,1.893040889494301,0.2272727272727273,0.33636363636363636,10,11,6,10,6,1.9459101490553132,1.5737704918032789,1.5737704918032789,3.315741165672327
8,Ezreal|16.3,Ezreal,16.3,10.119047619047617,8.286007266389078,1.8330403526585393,False,0.5384615384615384,46.66666666666667,1.211341419948727,0.3166666666666667,0.16666666666666666,12,20,6,9,6,1.9459101490553132,5.333333333333333,5.333333333333333,7.229508196721311
9,Senna|16.1,Senna,16.1,43.333333333333336,45.12336197922047,1.7900286458871335,False,0.4090909090909091,0.0,,0.23846153846153845,0.2153846153846154,13,10,5,5,5,1.791759469228055,2.848101265822785,4.5,2.848101265822785
10,Yunara|16.1,Yunara,16.1,-85.71428571428572,-83.94755973733338,1.766725976952344,False,0.47368421052631576,25.0,,0.18333333333333332,0.25,10,12,3,4,3,1.3862943611198906,2.6666666666666665,2.6666666666666665,3.266666666666667
11,Zed|16.2,Zed,16.2,-11.111111111111116,-9.354325397105928,1.7567857140051881,False,0.3103448275862069,11.904761904761903,2.68707245156798,0.2388888888888889,0.21111111111111114,20,18,12,7,7,2.0794415416798357,2.9224944320712694,2.9224944320712694,5.4
12,Nocturne|16.12,Nocturne,16.12,-5.286738351254478,-3.5333925012841663,1.7533458499703114,False,0.35,16.666666666666668,2.8059105277878684,0.2115384615384615,0.3076923076923077,13,12,12,9,9,2.302585092994046,5.13903743315508,8.307692307692307,5.13903743315508
13,Malphite|16.2,Malphite,16.2,0.9615384615384581,2.7122313286705335,1.7506928671320754,False,0.34285714285714286,12.82051282051282,0.8366306611780137,0.041062801932367166,0.2367149758454106,23,18,9,13,9,2.302585092994046,5.728813559322033,5.728813559322033,8.470588235294118
14,Yone|16.3,Yone,16.3,-11.309523809523808,-13.02479113557538,1.7152673260515723,False,0.5,13.846153846153841,0.9556590428534795,0.2714285714285714,0.10714285714285716,14,20,5,15,5,1.791759469228055,1.8846153846153846,1.8846153846153846,9.0
15,Smolder|16.2,Smolder,16.2,-4.444444444444451,-2.733468496667535,1.710975947776916,False,0.35714285714285715,6.944444444444442,1.3777113112341277,0.20634920634920634,0.24603174603174605,18,14,11,9,9,2.302585092994046,3.715596330275229,6.818181818181819,3.715596330275229
